year	code	title	genre	directors	actors	story	
2001	31964	15분	범죄, 스릴러, 액션	존 허즈펠드	로버트 드 니로, 에드워드 번즈	감옥에서 출소하자마자 예전 동료에게서 간단히 분담금만을 받으려 유럽에서 미국으로 날아온 범죄자 에밀과 올렉. 특히 올렉은 영화 감독이 오랜 꿈. 뉴욕에 도착하자마자 캠코더 한 대를 훔친다. 곧이어 둘은 동료를 찾아가지만 그에겐 에밀과 올렉에게 줄 돈이 바닥이 난 상태. 흥분한 에밀이 동료를 살해하고, 올렉은 캠코더를 통해 탐욕적이고 호기심 가득 찬 시선으로 캠코더에 모든 상황이 숨가쁘게 담겨지는데. '피플'지를 장식했던 뉴욕의 저명한 형사 에디와 내성적이면서 소심한 방화전문 수사관 죠디는 계속되는 연쇄방화사건과 살인 사건 현장에 자주 부딪치면서 서로에 대해 알게 된다. 둘이 티격태격하면서 불안정한 파트너쉽을 이루는 가운데, 유럽에서 날라온 두 범죄자는 가장 쉽게 부를 축적할 수 있는 묘안을 짜낸다. 그것은 더 악랄하게 범행을 질러 미국인을 경악하게 하는 것. 그래야 유명해지고 갑부가 될 수 있으니까! 에밀과 올렉은 미국에서 가장 시청률이 높은 리얼리트 뉴스쇼 - '탑 스토리'를 시청하면서 '바로 이거!'라며 땅을 친다. 그리고 곧 그들이 벌여놓은 연쇄살인사건을 맡은 '에디'라는 형사의 신상을 알게 된다. 한편, 에디는 방송인인 여자 친구에게 청혼을 준비 중인데.. 이제 세계에서 가장 위대한 형사 에디를 잡은 두 범죄자의 행동하나하나는 전 세계인의 이목을 잡는 특종감이 되는데...
2001	31595	2001 스페이스 오디세이	코미디, SF	알란 A. 골드스타인	레슬리 닐슨, 알렉산드라 캠프-그로엔벨드	엉뚱한 판단으로 운좋게 사건을 해결해가는 비밀요원 딕스 대령. 달기지 베이건의 '인간-외계인부'의 행정관인 미모의 카산트라 미나지 양을 만나, 현재 백악관에 있는 대통령이 진짜 대통령이 아니라는 사실을 알게된다. 진짜 대통령은 달기지에 감금되어있고, 현재 대통령 행세를 하고 있는 사람은 대통령의 복제인간인 것. 대통령을 구출하는 임무를 맡게된 딕스 대령은 달로 향한다. 달기지의 연구 책임관인 프랫 박사를 만난 딕스 대령은 그곳에서 수많은 복제실험이 행해지고 있음을 알게된다. 프랫 박사의 방을 뒤져 달기기 설계도를 찾아내 대통령이 어디 있는지 알아내려던 딕스 대령은 아슬아슬하게 프랫 박사의 눈을 피해 도망치지만 결국 들켜서 프랫 박사의 협박을 받게된다. 하지만 딕스 대령의 설득으로 맘을 고쳐먹은 듯 보이는 프랫 박사에 의해 대통령을 쉽게 찾아 지구에 있는 가짜 대통령과 바꿔치기 하지만, 사실 이 모든 것이 거짓이었고, 진짜 대통령을 가짜와 바꾸는 일에 동참했다는 사실을 알게 되는데.
2001	36752	24 시즌1	액션, 스릴러, 드라마	존 카사르, 데이비스 구겐하임, 스티븐 홉킨스	키퍼 서덜랜드, 레슬리 호프	'미드나잇 테러'. 대통령 예비선거 전야 자정 무렵의 로스 엔젤레스. 테러 진압 조직 CTU(Counter Terrorist Unit) 요원인 잭 바우어(키퍼 서덜랜드 분)는 상관인 월시 요원으로부터 미국 최초의 흑인 대통령이 유력한 팔머(데니스 해이스버트 분) 의원에 대한 암살 기도가 예비선거 당일 있을 것이라는 정보와 함께 조직 내부에 스파이가 있을지 모르니 아무도 믿지 말고 암살자를 찾아내라는 명령을 받는다. 한편 잭의 딸, 킴벌리는 부모 몰래 집을 빠져 나와 친구인 자넷과 함께 남자들을 만난다. 이런 일들이 벌어지는 동안, 팔머 의원의 암살에 연루된 맨디는 로스 엔젤레스 행 비행기에 탑승, 의원과의 미팅이 예정된 마틴의 ID 카드를 훔친다. 이어 타고 있던 비행기를 공중에서 폭파시키고 자신은 낙하산을 타고 탈출하는데. '암살 커넥션'. 잭은 팔머 의원의 정보가 담긴 출입 카드가 니나의 컴퓨터로 작성된 것으로 밝혀지자 그녀를 내부 스파이로 의심하고 추궁하지만, 그녀가 휴가 중일 때 다른 누군가 컴퓨터를 사용했던 것으로 밝혀진다. 한편 팔머 의원은 모린 기자로부터 뜻밖의 전화를 받는다. 팔머 의원의 딸을 강간한 후에 자살했다고 알려진 소년은 그의 아들에 의해 살해되었다는 것. 팔머 의원은 강력히 부인하면서 선거에 치명타를 가할 이 스캔들을 은폐하고자 한다. 그 시각, 게인즈에게 사주를 받은 릭 일행에게 납치된 킴벌리는 탈출을 감행, 엄마에게 전화를 해서 위치를 알려주지만 곧 붙잡히는데. '프라임 서스펙트'. 4:00 A.M. - 5:00 A.M 잭은 창고에서 총격전을 벌였던 펜티코프가 경찰에 연행되자 킴벌리의 행방을 물어보기 위해 그를 찾아간다. 펜티코프가 딸의 소식을 알고 싶으면 자신을 경찰서에서 나가게 해달라고 요구하자 잭은 할 수 없이 그를 빼내 달아난다. 하지만 킴벌리에 대한 정보는 얻지 못하고, 펜티코프의 트렁크 안에서 신원불명의 시체 한 구만 건진다. 잠시 후 끝까지 뒤쫓아온 CTU 내사과의 메이슨이 자신을 체포하려 하자 잭은 그간의 일을 얘기하고 도움을 구한다. 한편 킴벌리를 넘겨 받은 게인즈는 자넷을 놓친 책임을 물어 댄을 죽인 다음 릭에게 시체를 처리하라고 협박하는데. 5:00 A.M. - 6:00 A.M 자넷을 찾아 병원에 온 테리와 앨런은 수술을 받던 그녀의 맥박이 갑자기 정지되자 깜짝 놀란다. 한편 테리의 연락을 받은 잭은 시체의 신원조회를 니나에게 맡기고 병원으로 찾아왔다가 뜻밖에 게인즈의 전화를 받는다. 게인즈는 자신의 명령을 따르지 않으면 킴벌리를 죽이겠다고 협박한다. 이에 잭은 그의 지시대로 휴대전화를 버리고 새 차를 몰고 사무실로 들어간다. 그 틈에 자넷을 만나러 들어간 앨런은 그녀를 질식 시켜 죽인 다음, 자넷이 킴벌리가 있는 곳을 말해줬다면서 그녀를 데리고 댄의 주소로 출발한다. 그때 니나가 전화를 해 잭이 찾아낸 시체의 신원이 앨런이라고 말하자 테리는 경악하는데. '히든 카드'. 6:00 A.M. - 7:00 A.M. CTU에서 해독중인 출입카드에서 암살범의 정체가 밝혀질 것을 우려한 게인즈가 카드를 바꿔치기 하라고 지시하자 잭은 사무실로 돌아온다. 잠시 후 잭은 출입카드를 바꿔놓은 사실을 니나가 눈치채자 그녀를 볼모로 삼아 사무실을 빠져 나와서 게인즈를 찾아간다. 니나를 본 게인즈가 당장 그녀를 죽이라고 명령하자 잭은 당황한다. 그러나 거역할 수 없는 명령임을 알고 있는 잭은 니나를 향해 방아쇠를 당긴다. 한편, 앨런이 위장 인물임을 안 테리는 위기상황에서 탈출하기 위해 몸이 안 좋다는 구실로 차를 세운 후 뒤따라 나온 앨런, 즉 케빈을 돌로 쳐 기절 시키고 CTU 사무실에 전화해 제이미에게 구조를 요청하는데... 7:00 A.M. - 8:00 A.M 방탄 재킷를 입은 덕에 죽지 않은 니나는 CTU의 토니 요원과의 전화 연락을 통해 제이미가 스파이라는 사실을 알게 된다. 잠시 후 사무실로 돌아온 니나는 부인과 딸이 인질로 잡혀 있기 때문에 암살범에게 협조해야 하는 잭의 상황을 토니에게 설명한다. 이에 토니는 비밀 경찰국에 전화해 잭이 팔머 의원을 죽이려 한다고 알린다. 한편 잭은 아내와 딸을 살리기 위해 게인즈의 명령대로 무기가 들어있는 가방을 팔머 의원이 연설할 장소로 반입한 다음, 의원과 미팅이 예정된 인물로 위장한 게인즈의 부하에게 가방을 넘긴다. 하지만 암살범이 총을 쏘기 직전, 토니의 연락을 받은 비밀 경찰이 들이닥치는데. '블랙리스트'(season 1, eps 9~10) 8:00 A.M. - 9:00 A.M. 팔머 의원을 암살하려는 것으로 오해 받고 비밀 경찰국에 체포된 잭은 상관인 프랭크에게 그 동안의 사정을 밝히면서 풀어달라고 간청한다. 그러나 프랭크가 자신의 요청을 거절하자  잭은 기지를 발휘해서 요원들을 따돌리고 탈출한다. 곧 차를 탈취한 그는 여자 운전자를 인질로 잡은 뒤 경찰의 감시망을 빠져 나온다. CTU 사무실에서는 니나와 토니가 스파이임이 드러난 제이미에게 자백을 강요한다. 하지만 제이미가 사면을 요구하면서 입을 열지 않자 두 사람은 그녀의 아들을 데려와 엄마와 대면 시키겠다는 협박을 하고는 밖으로 나간다. 잠시 후 돌아온 두 사람은 제이미가 머그잔을 깨어 팔목을 그은 채 쓰러져 있는 모습을 발견하는데. '데드라인'(season 1, eps 11~12). 10:00 A.M. - 11:00 A.M. 코펠을 납치한 잭은 그에게서 테리와 킴벌리가 감금된 장소를 알아내려고 한다. 그러나 코펠이 단지 사업가일 뿐이라면서 음모에 개입되어 있지 않다고 주장하자 잭은 강력한 방법으로 협박한 끝에 케빈 캐롤이라는 남자를 만나기로 했음을 알게 된다. 잭이 더 자세한 정보를 밝히기 위해 코펠을 추궁하는 순간 그가 심장마비로 죽는다. 이에 잭은 혼자서 케빈 캐롤을 만나러 갔다가 그가 킴벌리의 친구인 자넷의 아버지로 행세했던 앨런 요크라는 사람으로 드러나자 그를 납치한다. 같은 시각, 초조하게 잭을 기다리던 테리와 킴벌리는 게인즈의 부하로부터 살해 위협을 받는다. 두 사람은 필사적으로 저항하고 그 틈에 총을 손에 넣게 된 테리가 남자를 죽이고 시체를 감추는데.
2001	31897	3000 마일	액션, 스릴러, 코미디, 범죄	데미안 리히트스타인	커트 러셀, 케빈 코스트너	작전개시 하루전. 막 출소한 1급 전과자 마이클은 감방에서 만난 엘비 파이브와 라스베가스에서 합류하기 위해 그곳으로 잠입한다. 그는 우연찮게 라스베가스 근처의 작은 모텔에서 시빌이라는 색기발랄한 여자를 만나 뜨거운 하룻밤을 보내지만 뭔가 석연치 않다. 작전개시 당일. 명소인 리베라 호텔이 바로 이들이 오늘 저녁 한탕하려는 장소. 때마침 이 호텔에서는 '2001 인터내셔날 엘비스 대회'가 거대한 축제처럼 펼쳐지고 있어, 카지노를 들쑤시기엔 그야말로 최적기. 두목 머피 그리고 마이클, 핸슨, 거스, 프랭클린은 마치 엘비스 대회에 참가하는 뮤지션인양 변장하고 위풍당당하게 리베라 호텔 카지노에서 돈을 싹쓸이하는데 성공한다. 작전 개시 다음날. 그러나 호재가 있으면 악재도 있는 법. 악질 중에 천하의 악질인 이 악당들은 어마어마한 320만 달러라는 돈뭉치를 보자 욕심이 생기기 시작한다. 이 조직에서 가장 잔 머리를 잘 굴리는 핸슨은 리베라 호텔에서 경찰의 총에 맞아 죽은 프랭클린의 몫까지 챙기려고까지 한다. 관록파 악당 머피가 누구인가! 이 피래미같은 녀석에게 돈을 떼줄 리가 있나! 이제부터 작전은 처음으로 돌아간다! 작전개시 종료. 뛰는 놈 위에 나는 놈 있다고 하지 않았나! '머피'로부터 황당하게 배신당한 마이클. 그러나 그는 머피보다 한 수 위였다. 돈가방은 쥔 자가 주인 아닌가! 그런데 아뿔싸 신세 고치려 돈가방을 쥐고 고향으로 떠나려는 그에게 시빌이라는 여자와 그녀의 아들 제씨가 떡하니 가로막고 있는게 아닌가!
2001	31245	7인의 새벽	코미디, 액션	김주만	윤용현, 정은찬, 이남희	택시 스페어 운짱 기훈(정소영 분)은 하루를 근근히 이어가는 스물두살 할 일 없는 청춘이다. 오로지 꿈이 있다면 여자친구 현희(이지현 분)와 아담한 노래방 하나 차려 조용히 살고 싶지만 단돈 오천만원이 없어 신세한탄 중이다. 그러던 어느날 새벽 운전을 하던 기훈은 갑자기 차로 뛰어든 사내를 치는데.정회장의 정부는 그녀의 또다른 애인과 공모, 로비자금을 가로챈다. 그러나 기쁨도 잠시뿐, 곧 하이눈 호텔로 쳐들어온 정회장의 졸개들과 형사(길수: 이남희 분 / 재성: 안홍진 분), 그리고 909호를 606호로 착각한 무지막지한 해결사(라이트光: 윤용현 분 / 파이프强: 성동일 분)들이 엉키고 싸우며 아수라장을 만든다. 상황을 제압한 해결사 라이트光과 파이프强이 누구 다리를 잘라야 할 지 몰라 갈팡질팡하던 사이 삼십육계 줄행랑을 친 사내는 돈가방을 챙겨 무사히 호텔을 빠져 나오지만 그만 새벽길을 달리던 택시에 치고 만다.한편, 죽은 사내의 가방에서 어마어마한 돈을 발견한 기훈은 세상 모든 것을 가진 양 흥분을 감추지 못하고 편의점에서 일하는 현희에게 돈가방을 맡긴다. 기훈은 지긋지긋한 이곳을 떠나 펼치게 될 둘만의 달콤한 핑크빛 미래를 꿈꾸는데. 묘연해진 돈가방의 행방을 쫓던 형사 길수와 재성, 돈가방을 찾으려는 정회장의 제안을 받아들인 해결사 라이트光과 파이프强 모두 기훈과 현희가 있는 새벽녘의 편의점으로 모여드는데.
2001	31171	D-13	드라마	로저 도널드슨	케빈 코스트너, 브루스 그린우드, 스티븐 컬프	1962년 10월 16일, 미국 U-2 비행기가 쿠바 항공을 정찰 중, 핵미사일 기지가 건설되고 있음을 포착한다. 이 미사일은 미 전역을 단 5분만에 전멸시킬 수 있는 소련제 핵탄두. 발사될 경우, 전 미국의 파괴는 물론 제3차 세계대전을 피할 수 없는 상황에 이른다. 대통령 존 F. 케네디는 동생인 로버트 F. 케네디와 보좌관 케네스 오도넬을 중심으로 ExComm(Executive Committee of the National Security Council: 비상 대책 위원회)을 소집해 대책을 강구하지만 내부에서조차 의견이 엇갈린다. 군부는 이러한 소련의 태도를 명백한 도전 행위로 간주하고 강력한 군사적 행동을 취하자고 주장한다. 하지만 자칫 3차 세계대전으로 몰아넣을 수도 있는 전 세계인의 생존을 건 문제 앞에 케네디 형제를 중심으로 한 온건파는 신중한 고심 속에 냉정을 유지한다. '선전포고'냐 '외교협상'이냐 라는 치열한 논쟁 속에 강경파와 온건파의 대립은 커져만 가고 한치 앞을 알 수 없는 막막한 현실 속에 전 세계인들은 제3차 세계대전의 공포에 휩싸이게 되는데.
2001	30905	MOB 2025		권형진	이정재, 유지태, 최윤영	2018년에 발생된 핵전쟁 후, 살아남은 도시들은 자치적 지역체인 Mega City를 형성한다. 한반도 남부 다도해 지역에 자리 잡은 M.O.B. (메가시티 오션 블루). 비옥한 토지와 안정된 인프라를 보유한 1구역과 지하자원의 보고인 2구역, 공업지역인 3구역 등 3개의 섬으로 이루어져 있다. 1구역은 2구역과 3구역을 신탁통치하지만 3구역의 통치자 염호림이 산성비를 막아낼 수 있는 코팅제인 FG23을 생산해 내면서 3구역의 자치권을 인정하게 된다. 그러나 3구역에는 염호림의 억압적 정치에 대항하는 지하조직 ‘매커드’가 결성되고 염호림의 호위대인 시티가드 출신의 더스트가 매커드를 이끌어간다. 그리고 3구역엔 파란이 이는데... PART 1. 염호림의 기지에 잠입한 매커드 요원들이 시티가드들에게 체포된다. 잔인하게 그들을 사살하는 시티 가드의 새로운 리더 K1(유지태). 그 시각 매커드의 기지에는 수수께끼의 여인이 찾아온다. FG24 개발의 핵심연구원 강영주(최윤영). 그녀는  FG24의 공식을 넘겨주겠다고 제안하며 단 더스트(이정재)와 함께 3구역의 핵심부인 오션타워로 잠입해야 한다고 조건을 건다. 그녀의 정체를 믿을 수 없는 매커드 요원들은 반발하지만 그 때 K1의 사살 속에서 유일하게 살아남은 한 소년이 매커드 기지로 복귀한다. 온 몸에 시한폭탄이 설치된 채...당황한 모두를 제치고 강영주가 그 폭탄을 해체한다. 그리고 더스트는 그녀의 제안을 받아들이기로 승낙하고. 오션 타워에 침입한 더스트와 강영주. 첨단 시설의 보완과 꼬리에 꼬리를 물고 이어지는 부비트랩들. 그리고 K1이 이끄는 엄청난 인원의 시티가드들이 그 곳을 지키고 있다. 한때 우혁과 가장 가까운 동료였던 K1. 이제 둘은 피할 수 없는 대결을 벌여야 한다.
2001	60250	RGB 모험	애니메이션	스가야 노부유키		우주의 평화를 지키기 위해 류와 지구전사들의 싸움을 그린 내용.
2001	84295	TV 동물농장		이덕건, 백시원	신동엽, 김생민, 정선희	
2001	39203	UC - 언더커버	드라마, 액션	앨런 크로에커, 장 드 세곤작, 제프리 레비	베라 파미가, 오데드 페르, 윌리엄 포사이스	
