year	code	title	genre	directors	actors	story	
2004	39170	109		시스템		고전영화의 이미지들로부터 재창조해낸 서스펜스가 가득한 이야기.
2004	29727	10층의 모기		최양일	카와하라 사부, 카자마츠리 유키, 쿠사나기 코지로	이혼한 현직 경찰이 승진의 실패, 가족으로 부터의 소외 등을 겪으며 자신의 10층 아파트에 살면서, 도박, 사채, 강간등의 범죄행위를 저질러 막다른 골목으로 몰려가는 상황을 집요하게 추적한 작품으로 최양일 감독의 첫 데뷔작이다. 마이니치 콩쿨에서 신인감독상을 비롯해 요코하마 영화제에서 신인감독상, 키네마 준포의 감독 베스트 10에 선정되는 영광을 안겨주었다.(train77님)
2004	39575	12월의 열대야	멜로/로맨스, 드라마, 코미디	이태곤	엄정화, 김남진, 신성우	극성이 강한 정통 멜로드라마. '센' 이야기로 승부한다. 여자. 남편도 있고 자식도 있다. 그녀는 현모양처고 누구나 인정하는 효부다. 그런 그녀가 사랑에 빠진다. 착했던 그녀가 점점 ‘나쁜 여자’가 되어간다. 그리고 마침내 그녀의 사랑이 세상에 발각된다. 그녀는 이제 누구의 아내도 누구의 엄마도 누구의 며느리도 아니다. 그냥 ‘바람난 여자’일 뿐이다. 그녀는 마침내 모든 것을 버리고, 자식새끼까지 버리고 사랑하는 남자에게로 도망을 쳐 진짜‘나쁜 여자’가 된다. 그러나 그녀가 사랑하는 남자는, 제 목숨과도 같은 자식새끼와 바꾼 그녀의 사랑을, 애초부터 ‘사랑’이 아니었다고 한다. 그녀를 놓고, 그녀의 사랑을 놓고, 남자는 ‘게임’을 했다고 한다. 친구와 그녀를 유혹하기로 ‘내기’를 했다고 한다. 그를 배신하고 결혼한 첫사랑에 대한 ‘앙갚음’이었다고 한다. 27살 창창한 자신의 삶에 사형선고를 내린 신에 대한 ‘복수’였다고... 죽기 전에 벌인 마지막 ‘놀이’였다고... 그녀가 아닌 누구여도 상관이 없는.. 때마침 그녀가 걸려던 것뿐이라고... 무너지는 女子.. 남자. 열심히 살았다. 정말 열심히 살아왔다. 발바닥에 땀나도록 손바닥에 인이 베이도록, 쉴 새 없이,  잠자는 시간도 아까워하며, 복학과 휴학을 반복하며, 아르바이트에 또 아르바이트,병든 아버지 약값에 사고뭉치 매형의 합의금, 간신히 모은 등록금이 이번에도 날아가고,그는 몇 년째 4학년이다. 그래도 그는 좌절하지 않는다. 죽어도 불공평한 이 세상과의 승부에서 지지 않을 것이다. 7년을 사귄 애인이 다른 남자와 결혼을 한다. 그녀의 새 남자는 부잣집 아들에다 잘 나가는 의사다. 비참하지만 그래도 눈물로 애원해본다. 그녀를 사랑하므로. 하지만 애인의 결심은 확고하다. 너에겐 미래가 없잖아. 그녀는 틀렸다. 그의 나이 이제 27살, 그에겐 창창한 미래가 있다.멋지게 성공해서 그녀가 틀렸다는 것을 기필코 보여주리라. 그는 더 열심히 산다. 더 많이 땀 흘리고 더 적게 잠을 자고. 하지만 결국 그녀가 옳았다. 오만무도한 신은 그에게 미래마저 허락하지 않았다. 암이라고, 앞으로 3개월 정도밖엔 못산다고,병상에 누워있는 그의 아버지보다 그가 먼저 죽을 거라고... 분노하고 좌절하고 체념하고... 그런 자포자기의 어느날 女子를 만났다.한없이 사악한 마음으로 여자를 놓고 친구와 내기를 한다. 그래, 맘껏 즐기다가 제임스딘처럼 세상 끝날 때까지 달려가 보자! 내 삶의 마지막 순간까지 신의 손에서 시름시름 고통스럽게 앓다가 죽지는 않으리라! 마침내 그녀를 향한 그의 위험한 유혹이 시작된다! 다양한 삶의 충위를 반영하는 휴먼 드라마. TV드라마는 멜로가 핵심이지만 정작 일상의 삶은 멜로가 없거나 있어도 덤이나 부록쯤이다. 일상에서는 멜로보다 밥이 더 중요하고 남편과의 애정보단 시어머니와의 갈등관계가 더 골 아프다. 《12월의 열대야》는 자칫 현실과 동떨어지고 단선적일 수 있는 멜로드라마의 한계를 극복하고자, 우리의 일상과 세태를 반영하는 개성 있고 매력적인 조연들의 캐릭터 창조를 통해 드라마의 양감을 훨씬 더 풍요롭게 만들고자 한다. 인간의 치졸한 이중성과 허위의식을 까발리며 실소를 자아내는 에피소드, 가난하지만 가족이라는 이유로 기꺼이 헌신하고 희생하는 끈끈한 가족사랑의 에피소드, 죽음을 앞둔 아버지와 아버지보다 먼저 죽게 된 아들의 기막힌 마지막 나날들에 관한 에피소드. 시댁에서의 주도권을 놓고 펼쳐지는 며느리들 권력다툼에 관한 에피소드, 구박하는 시어머니에 대한 반격에 나선 며느리에 관한 에피소드 등... 일상의 면면을 개성 있는 캐릭터를 통해 코믹하고 흥미진진하게 묘사할 것이다. 결혼 10년차 주부인 영심은 남편인 신경외과 과장 지훈의 관심을 얻기위해 라디오 노래자랑 코너에서 노래를 하다 시어머니 나여사에게 호된 꾸중을 듣는다. 아들의 배우자로 탐탁지않게 여기는 나여사는 영심의 행동 하나하나가 못마땅하고, 영심은 시댁식구들의 구박에 서러워하지만 특유의 낙천적인 성격으로 꿎꿎하게 참고 버틴다. 정우와 7년의 사랑을 뒤로하고 재환과 결혼을 하는 지혜는 자신만을 영원히 사랑해달라며 작별의 키스를 남긴다. 병든 아버지와 사고뭉치 동생 내외 때문에 휴학과 아르바이트를 해왔던 정우는 떠나는 지혜를 차마 잡을 수 없는 자신의 처지에 참았던 슬픔을 터뜨린다. 지혜와 재환의 결혼식 날, 부모님께 보내는 영상편지를 보며 영심은 갑자기 친정 어머니가 생각나면서 가슴이 아파오고 대성통곡을 하기에 이른다. 그 사건 후 지훈이 영심을 남해의 친정에 다녀오라고 하자 영심은 기뻐하며 남해행 버스에 오르는데... 버스를 놓치고 전전긍긍하던 영심(엄정화)은 정우(김남진)를 발견하고 정우의 차에 몰래 올라탄다. 깡패들에게 쫓기고 있다며 거짓말을 하지만 곧 들통이 나고 영심은 고속도로 갓길에 홀로 내려진다. 우여곡절 끝에 남해에 도착한 영심(엄정화)은 고속버스에서 우연히 만난 퇴물의 도움으로 가방과 선물들을 찾는다. 잃어버린 자신의 핸드폰으로 전화를 걸자, 정우의 아버지가 영심의 전화를 받는다. 지환(신성우)은 영심이 없는 사이 가흔(김호정)의 갤러리에서 가흔(김호정)과 데이트를 즐긴다. 지환이 전화를 받지 않자 영심은 조금 이상한 느낌을 받는다. 하지만 영심은 곧 끝순(영심모)과 이야기꽃을 피우고 두 모녀는 따뜻한 시간을 갖는다. 정우(김남진)의 집을 찾은 영심, 고통에 찬 비명을 지르며 쓰러져 있는 태복(정우 부)을 발견하고 병원으로 옮긴다. 뒤늦게 병원에 도착한 정우, 마을 사람들의 얘기를 듣고 영심을 본다. 고향마을 이곳 저곳을 돌며 사진을 찍던 정우, 밭일을 하고있는 두 여인을 발견하고 사진을 찍기 시작한다. 영심(엄정화)과 끝순(영심 모)이다. 정우와 영심 두 사람은 조금씩 가까워진다.
2004	39266	138초의 평화?		아그리꼴라 드 꼴론느		138초의 평화? 평화란 무엇인가? 환상인가 공상인가? 이것은 단지 전쟁이 없는 상태를 뜻하는가? 오히려 평화가 인간의 본성에 반하는 것은 아닐까? 인간의 진화는 전쟁의 역사 속에서 이루어져 왔지 평화의 역사 속에서 이루어진 적은 없었다. 그러나 &amp;lt138초의 평화?&amp;gt 는 단지 전쟁에 대해서만이 아니라 평화의 의미에 대한 다양한 논점을 가지고 있다. 이 작품은 2003년 3월14일 이라크 전쟁 개시 날, 온라인에서 최초로 공개되었다.
2004	39199	19-2000		피트 캔디랜드, 제이미 휴렛	고릴라즈	가상의 애니메이션 밴드 Gorillaz 뮤비. 패션 픽쳐스에서 피트 캔들랜드(Pete Candeland)와 제이미 휼렛(Jamie Hewlett)이 만든 애니메이션 밴드 Gorillaz의 세 번째 작품이다. 영국 챠트에서 엄청난 성공을 거둔 Gorillaz의 앨범은 미국, 호주 등에서도 발매되었다. Gorillaz 밴드가 지프 자동차를 타고 미국의 자유도로를 여행하던 중 거대한 괴물을 만난다. Murdoc은 이 야수를 도로로부터 없애기 위해 미사일을 발사하지만, 동시에 지프 자동차도 폭발하고 만다... &amp;lt19-2000&amp;gt에서는 앞서 만들어진 뮤직비디오들에서 보다 컴퓨터 애니메이션이 더욱 적극적으로 활용되었다. 피트 캔들랜드는 작업의 소감을 이렇게 회고한다. "지프 자동차나 배경을 표현할 때 빠르고 쉽게 만들며 움직이면서 작업할 수 있는 컴퓨터 그래픽을 이용하는 것이 적절했습니다. 폭발 장면은 특히나 인상적이었죠. 정말 즐거운 작업이었습니다!" 밴드 멤버들은 수작업으로 스케치됐고 CG 애니메이션 기법으로 합성되었다. 패션 픽쳐스의 CG 애니메이터들은 라이트웨이브(Lightwave), 메시아(Messiah) 및 애프터 이펙트(After Effects) 소프트웨어를 사용하며 스피드 레이저(Speed Razor)로 편집하였다. 2001년 런던 이펙트 &amp; 애니메이션 페스티벌 베스트 뮤직 비디오상 노미네이트.
2004	34677	1979년 10월 28일 일요일 맑음	드라마	권종관	강혜윤, 한민희, 이동근	1979년 10월 28일 일요일, 엄마는 4남매를 앞에 앉혀놓고 싸우지 말고 집 잘 보라며 큰누나인 영자(16살)에게 4,000원을 준다.
2004	39324	20 30 40	드라마, 멜로/로맨스	장애가	장애가, 유약영, 이심결	20. 가수가 되고싶어 부모의 간섭을 피해 말레이시아에서 대만으로 도망쳐온 샤오 지에(리신제)는 이제 막 스무살. 호기심 많고 대담한 그녀는 또다른 소녀 통과 함께 아이돌 그룹으로 성공하기 위한 합숙훈련에 돌입하는데.... 하지만 언제부턴가 통에게 친구 이상의 감정을 느끼는 자신을 발견하게 된다. 30. 스튜디어스 시앙(유약영)은 수많은 남성들의 사랑을 한몸에 받고있는 퀸카. 근사한 남자들과의 삼각관계를 즐기던 그녀는 갑자기 지진이 일어난 날 밤, 이제 서른이 된 자신의 곁을 지켜줄 진정한 애인은 없다는 걸 깨닫게 되는데... 40. 꽃가게를 꾸리는 마흔살의 미혼녀 릴리(장애가). 나름대로 기반을 잡았다고 자부하던 그녀의 마음은 매력적인 대학동창 제리(양가휘)를 만나면서 온통 흔들리기 시작한다. 그런데 제리는 얼마전부터 릴리의 딸 또래 20대 여자와 사귀는 중이라는데...
2004	38375	2004 인간 시장	액션, 드라마	홍성창, 손정현	김상경, 박지윤, 김상중	무공스님의 가르침을 받으며 책상과 법학책과 이불이 전부인 5평 정도의 산중 암자에서 사법고시 준비해 온, 총찬(김상경 분). 사랑하는 여자, 다혜(박지윤 분)와 부조리한 사회를 조정할 수 있는 권한, 검사의 직위를 위해, 열심히 사랑했고 열심히 공부해 온 그의 노력이 드디어 빛을 보게 될날이 머지 않았다. 시험장으로 향하는 지하철 역시 안. 서둘러 내려가던 총찬은 미모의 여인과 맞부딪히게 되고, 여인은 미안하단 이야기를 할 틈도 없이 사라진다. 시험 노트를 가방에 집어 넣으면 선로 위로 막 들어서기 시작한 지하철을 기다리던 총찬은 아이를 남겨두고 지하철로 뛰어드는 남자를 발견하게 되고, 몸을 날려 남자를 안은 채 맞은 편 선로 쪽을 향해 몸을 날린다. 사람들이 몰려오고 기자가 달려오고 하는 통에 시간은 지체되고, 총찬은 서둘러 빠져나와 시험장으로 향하지만, 사법 시험장 철문은 이미 굳게 닫혀있다. 시험이 끝나고 텅빈 교실 안, 자신의 수험표와 사진을 바라보며 책상에 멍하게 앉아 있는 총찬. 빈 운동장을 허탈하게 걸어가는데 다혜가 급하게 뛰어온다. 시험을 잘 봤느냐고 묻는 다혜에게, 잘 치뤘다는 거짓말을 할 수 밖에 없는 총찬. 다혜로부터 미리 합격 축하까지 받으며, 인터뷰를 하러가는 다혜를 따라 엘도라도 건설회사의 "휴먼 프로젝트, 사랑 보육원 설립 발표회"를 따라 가게 된다. 그곳에서 다시 한 번 마주치게 된 미모의 여인, 엘도라도 건설회사 회장 유기하를 그림자처럼 따라다니는 시연이다. 인터뷰 기회를 놓친 다혜는 새로운 취재 지시를 받고 인터넷을 검색하다 "생명 구하려다가 사법시험 놓친 청년"이라는 타이틀과 함께 실린 총찬의 사진을 보고 화를 내고 가버리고, 뒤늦게 TV를 보고 소식을 알게 된 동생 연희와 어머니도 대성 통곡을 하며 난리인통에 총찬은 도무지 면목이 없다. 새집에서 쫓겨난 ?Y찬은 지하철 역에서 자살을 시도했던 남자의 어린 딸, 정은을 다시 만나게 되고, 정은을 집에 데려다 주러 갔다가 남은 사채 빚을 받아내기 위해 남자를 납치해 불법시술을 통해 장기를 떼어내고, 어린 정은마저 납치하러 온 사내들과 마주치게 되는데...
2004	34309	2046	드라마	왕가위	장쯔이, 장첸, 기무라 타쿠야	'2046년 미래를 배경으로 한 소설을 쓰는 작가 '차우'는  평소 진정한 사랑을 하지 않고 많은 여성과 일회적인 만남만 지속한다. 같은 호텔에 묵고 있는 '바이양'과도 육체적인 관계만 즐기지만 '바이양'은 진심으로 그를 사랑하게 된다. 그러던 중 호텔 사장의 딸 '징웬'의 도움을 받아 소설을 함께 쓰기 시작한 '차우'는 어느새 그녀를 사랑하게 된다. '차우'의 다양한 사랑 이야기가 투영된 소설의 결말은 무엇일까
2004	37951	21 그램	범죄, 스릴러, 드라마	알레한드로 곤잘레스 이냐리투	숀 펜, 베니시오 델 토로, 나오미 왓츠	대학교수인 폴 리버스(숀 펜)는 죽음을 눈앞에 두고 심장 이식만을 기다리고 있다. 그런 그는 아내 메리(샬롯 겐스부르)와 '삶과 죽음' 사이에서 조심스런 결혼생활을 유지하고 있고, 그 와중에 아내는 인공수정을 통해서라도 아기를 갖고 싶어한다. 그러던 그에게 심장이식을 받을 기회가 주어지고, 그는 또 다른 삶을 부여 받는다.과거에 약물 중독자였으나 좋은 남편을 만나 사랑스런 두 딸과 함께 행복한 가정을 꾸미고 있는 크리스티나 펙(나오미 와츠). 그녀는 마이클(대니 휴스턴)에겐 착한 아내이며 두 딸들에겐 훌륭한 엄마이다. 그러나 행복한 그녀의 삶에 예기치 못한 사고가 찾아오고, 그녀는 한 순간 사랑하는 모든 것을 잃는다. 경제적으로 궁핍한 잭 조단(베네치오 델 토로). 그는 아내 마리앤(멜리사 레오)과 함께 두 아이들을 키우며, 범죄자였던 자신의 힘든 삶을 종교를 통해 구원 받고 싶어한다. 그러던 중 교통 사고로 사람을 치게 되고, 순간의 실수는 자신의 가정은 물론 다른 사람에도 치명적인 불행을 야기시킨다. 하나의 교통사고로 얽혀들게 되는 이들… 결국, 그들은 삶을 위해, 혹은 영혼의 안식을 위해, 각자 다른 선택의 기로에 서게 되는데… {우리는 몇번의 삶을 사는가?, 우리는 몇번이나 죽는가?, 사람이 죽는 순간에 21그램이 줄어든다고 한다. 누구나 다. 21그램은 얼만큼일까?, 얼마나 잃는걸까? 언제 21그램을 잃을까? 얼마나 많이 그들과 함께 할까? 얻는 건 얼마큼일까? 얻는 건 얼마큼일까? 21그램. 5센트 5개의 무게. 벌새의 한 마리의 무게. 초콜릿 바 하나. 21그램은 얼마나 나갈까?}
