year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,19436,007 북경특급 2,코미디, 액션,주성치, 곡덕소,주성치,옛날 중국에선 황제의 보위를 위해 비밀 훈련을 받은 네 인물을 뽑아 보룡일족이라고 불렀다. 보룡일족 네 사람인 공, 희, 발, 제 네사람 중 공, 희, 제는 무술에 관한한 나라안의 최고 귀재였지만 발만은 무술에는 문외한이다. 원래 지방의 의사였던 발은 머리를 짜내 황제에게 바칠 발명품들을 만들어냈다. 암행어사 마패모양의 자석 방어기구와 황제를 위한 초대형 선풍기가 그것. 그러나 황상은 그를 중히 여기지 않고, 다만 발에게 신분을 숨기고 민심을 살피는 임무를 주는데……,,,,,,,,,,,,,,,,,,,,,,,,
2014,134240,2014 KBS 가요대축제,,,이휘재, 택연, 윤아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,134603,2014 KBS 연기대상,,,서인국, 박민영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,134239,2014 KBS 연예대상,,,신동엽, 유희열, 성시경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,133507,2014 MAMA,,,,"음음음음악으로 하나 되는 아시아 최고의 뮤직 시상식 Mnet Asian Music Awards.  <mnet asian="""" awards="""" music="""">는 1999년 영상음악대상으로 시작해 2000년 MMF(Mnet Music Video Festival)", 2004년 MKMF(Mnet KM Music video Festival)를 거쳐 대한민국 음악 산업의 성장과 함께 꾸준히 진화해온 대한민국 대표 음악 시상식입니다.    2009년 MAMA를 기점으로 연말 음악 시상식을 뛰어넘어 ‘아시아 대표 음악 축제’의 첫 출발을 알렸으며, 2010년 첫 해외 개최지 마카오에서 성공적으로 개최된 이후, 2011년 싱가포르, 2012년, 2013년 홍콩으로 이어지며 명실상부 아시아 최고의 음악 축제로 자리잡았습니다.    MAMA는 아시아, 유럽, 북미, 오세아니아 4대 대륙에 동시에 방송되며 전 세계에 K-POP의 위상을 높이고, K-POP 열풍을 확산하는데 앞장서고 있습니다.    다양한 문화, 다른 언어를 가진 전 세계의 아티스트와 팬들이 음악으로 하나되는 축제의 무대, 2014 MAMA! 지금 전 세계가 주목합니다.</mnet>,,,,,,,,,,,,,,,,,,,,,
2014,133506,2014 MAMA 레드카펫,,,블락비, 방탄소년단,본 시상식 전 진행되는 MAMA 레드카펫에서는 화려한 셀러브리티들의 등장과 함께, 다른 레드카펫 행사에서는 볼 수 없었던 아티스트들의 특별한 무대가 더해진다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,134605,2014 MBC 가요대제전,,,김성주, 전현무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,134238,2014 MBC 방송연예대상,,,김성주, 김성령, 박형식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,134602,2014 MBC 연기대상,,,신동엽, 최수영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,139430,2014 SBS 대기획 달과 바다,다큐멘터리,장원준,,바다 생물을 키우는 8할은 “달”이다.  지구의 2/3를 차지하는 바다. 바다는 하루에 두 번씩 밀물과 썰물을 반복하며 바다 속을 훑고 지나간다. 이 거대한 물살은 수많은 먹이를 실어 나르며 바다 생물들을 먹여 살린다. 그리고, 달이 차고 기울기를 반복할 때마다 바다는 그에 맞춰 변한다. 그리고, 그에 맞춰 바다 생물들은 산란을 하고 생을 마감하기도 한다. 이처럼 달의 변화는 수많은 생물들의 생존과 삶의 역사를 만들어 왔다.    달, 바다, 그리고 인간  인류가 바다와 관계를 맺기 시작한 그 옛날부터, 사람들은 달의 모양을 보고 바다로 향했다. 한달을 주기로 차고 기울기를 반복하는 달의 모양은 바다에게 보내는 일종의 신호다. 보름달 무렵이면 바다 물은 높이 차올랐다 수 천 킬로미터나 멀리 밀려나간다 이때에 맞춰 어부들은 물빠진 갯벌로 나가거나, 먼 바다로 향한다. 오징어배와 갈치잡이배는 달이 사라지는 그믐 무렵에 바다로 향한다. 달은 바다를 움직이고 인간은 움직이는 바다에 맞춰 살아왔다. 바다와 인간이 공존하는 삶의 방식, 그 이면에는 우주의 신비가 함께 한다.,,,,,,,,,,,,,,,,,,,,,,,,,
2014,134604,2014 SBS 연기대상,,,박신혜, 이휘재, 박서준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
