year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,19436,007 북경특급 2,코미디, 액션,주성치, 곡덕소,주성치,옛날 중국에선 황제의 보위를 위해 비밀 훈련을 받은 네 인물을 뽑아 보룡일족이라고 불렀다. 보룡일족 네 사람인 공, 희, 발, 제 네사람 중 공, 희, 제는 무술에 관한한 나라안의 최고 귀재였지만 발만은 무술에는 문외한이다. 원래 지방의 의사였던 발은 머리를 짜내 황제에게 바칠 발명품들을 만들어냈다. 암행어사 마패모양의 자석 방어기구와 황제를 위한 초대형 선풍기가 그것. 그러나 황상은 그를 중히 여기지 않고, 다만 발에게 신분을 숨기고 민심을 살피는 임무를 주는데……,,,,,,,,,,,,,,,,,,,,,,,,
2014,54370,램페이지 : 더 테러리스트,액션, 범죄, 드라마, 스릴러,우베 볼,브렌단 플레처,대학에 진학하지 않고 부모님과 함께 생활하는 ‘빌’은 독립하라는 부모님의 권유에도 아랑곳 하지 않는다. 지속적으로 독립을 권유하는 부모, ‘빌’의 요구를 들어주지 않고 고집만 부리는 카페 직원, 직장 상사의 불만과 허풍에 가득 찬 친구 ‘에반’까지… 이런 자극들이 ‘빌’의 분노를 폭발시키게 된다.   어느 날, ‘빌’은 대학을 진학하겠다며 부모님에게 한없이 자랑스러운 아들의 모습을 보여 준 뒤, 그 누구도 상상하지도 못할 만큼 끔찍한 일을 벌이고야 마는데…    충격의 총기난사 사건!  그 끝을 확인하라!,,,,,,,,,,,,,,,,,,,,,,,,,
2014,122028,러버스 가이드,다큐멘터리,케니 레이,캐시, 닉, 재스민,세계적인 성교육 베스트 셀러 ‘러버스 가이드’ 20주년 기념판!   당신과 파트너의 오감을 사로잡고 인생에 새로운 활력을 불어넣어 줄 12단계 섹스 가이드!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,128807,러브 싱크로,,,전현무,100% 똑같은 DNA는 아니더라도 90% 이상 일치하는 닮은 외모에 가슴 설레는 매력까지 지닌 이들이 펼치는 상상을 초월하는 신개념 러브 데이팅 쇼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,119993,러브 인 메모리2 - 아빠의 노트,드라마,박선재,정웅인, 윤주희, 윤소희,죽음을 앞둔 아빠가 아내와 딸에게 이별을 준비하는 감동적인 가족 드라마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,120041,러브 인 비즈니스클래스,코미디, 멜로/로맨스,알렉상드르 카스타그네티,루디빈 사니에, 니콜라스 베도스,탑승객 그 남자(앙트완)의 이야기  오늘도 여러 여친(?)들과의 아쉬운 작별, 새로운 변호사 사무실 면접을 위해 헐레벌떡 비행기에 탑승했다. 그런데 이게 왠 일? 내 옆자리에 3년 전 여친인 질투의 화신 줄리(루디빈 사니에 분)가 앉아있는 것. 무슨 말부터 해야 할까? 지난 이야기를 꺼냈다. 그녀는 들으려 하지 않는다. 함께 하는 6시간이 수많은 여친들과의 하룻밤보다 짜릿할 것 같다.^^    탑승객 그 여자(줄리)의 이야기  주말에 있을 내 결혼식, 약혼자를 만나기 위해 서둘러 파리행 비행기에 올랐다. 꼼꼼한 남친은 내 덜렁댐까지 챙겨 일거수일투족을 포스트 잇에 남겨둘 정도로 자상(?)하다. 덕분에 늦지 않고 비행기에 탑승했다. 그런데 이게 왠 일? 내 옆자리에는 3년 전 남친인 바람둥이 앙트완(니콜라스 베도스 분)이 앉아있는 것이 아닌가? 이미 나에겐 결혼할 남자가 있고 지난 과거 이야기 따위 듣고 싶지가 않다.  함께 하는 6시간이 지옥 같을 것 같다.T.T    “승객 여러분, 불규칙한 애정기류로 기체가 흔들릴 수 있으니  모두 안전벨트를 착용해 주시기 바랍니다.”,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,107370,러브, 로지,멜로/로맨스,크리스티안 디터,릴리 콜린스, 샘 클라플린,어릴 때부터 모든 것을 함께 겪어온 단짝 로지와 알렉스는 고등학교 졸업 후 영국의 작은 고향마을을 떠나 미국 보스턴의 대학에 함께 가기로 약속한다. 하지만 서로의 감정을 숨긴 채 각자 다른 파트너와 간 졸업파티에서 한 순간의 실수로 전혀 다른 삶을 살게 된 두 사람. 미국에서 계획대로 인생을 설계해 나가는 알렉스와 달리 로지는 꿈을 접은 채 고향인 영국의 호텔에서 일한다. 몇 년 후, 보고 싶다는 알렉스의 연락을 받은 로지는 다시 한번 희망을 품고 보스톤으로 향하지만 이미 알렉스의 옆에는 다른 여자가 서있는데…    끝없이 엇갈리는 12년의 사랑.  우리, 언제쯤 사랑인 걸 알까요?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,90923,러브, 비하인드,코미디, 드라마,리 톨랜드 크리거,라시다 존스, 앤디 샘버그, 일라이저 우드,완벽한 운명이라고 믿으며 결혼에 성공했지만 6년 만에 별거 상태가 되어버린 부부 셀레스티와 제시. 하지만 둘은 여전히 함께 사는 것은 물론 급기야 서로를 소울메이트라 칭하며 애정표현에도 변함이 없다.   물론 섹스는 절대 금기란 조항만 지킨다면!  어느 날 낭만적인 분위기에 취해 함께 밤을 보내게 된 셀레스티와 제시! 둘은 서로 떨어져 지내는 게 좋겠다고 선언하지만 날이 갈수록 허전한 마음과 서로를 향한 마음이 끝나지 않았음을 알게 되는데... 그러나 완벽하게 남이 된 그들 앞에 둘의 관계를 흔드는 누군가 나타나는데...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,123001,러브멘토,멜로/로맨스,신혜성,서리슬, 유재근,로맨틱 성인 소설가를 꿈꾸는 연애 경험 없는 작가 지망생 예나는 팬션 카페에서 일을 하며 틈틈이 글을 쓴다. 우연히 자신이 일하는 팬션 카페에서 롤모델 상현을 만나게 되고 만취한 상현을 부축하고 가던 중 지나가던 사람과 시비가 붙게 되어 상현은 손을 크게 다치게 된다. 예나는 자신을 보호해 주려다 다친 상현을 위해 청소부터 소설 원고 타이핑 하는 일까지 최선을 다해 도와준다. 그러던 어느 날, 상현은 예나의 미완성 소설을 보게 되고 소설을 완성시키기 위한 문학적 멘토가 되기로 결심하는데……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,103807,러브배틀,드라마,자크 드와이옹,사라 포레스티에, 제임스 시어리,베일에 싸인 여자가 아버지의 장례식에 참여하기 위해 아버지가 살던 곳으로 향한다. 아버지에 대한 분노와 그리움으로 혼란 속에 있던 그녀는 옆집에 살고 있던 옛 연인과 마주치게 된다. 혼란스런 상황에서 남자는 여자에게 연인관계를 다시 시작하자고 설득하고, 여자는 그 제안을 받아들이게 되지만 분노로 가득 찬 그녀는 어쩔 줄 모른다.   둘은 점점 가까워지며, 남자는 여자의 내면에 품고 있던 가족에 대한 분노를 끄집어내기 시작한다. 사랑인지 싸움인지 모를 격렬한 몸싸움을 벌이며, 둘은 내면에 가지고 있던 분노와 증오 그리고 사랑이라는 감정을 서로에게 폭발시킨다.  그들의 육체적 행위의 농도는 짙어져 가고, 폭력적 행위는 점점 그 둘 사이를 연결하는 중요한 고리가 되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,121716,러브포텐 - 순정의 시대,드라마, 멜로/로맨스,배성진,이성열, 남지현, 클라라,모태 솔로 주인공이 퀸카의 마음을 얻기 위해 순정을 바치는 모습을 그린 이야기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,126368,러시: 스트리트 레이서,액션, 범죄,올렉 페센코,알렉세이 차도프, 마리나 알렉산드로바, 엘비라 볼고바,갓 제대한 스테판은 아버지가 하던 자동차 정비소를 동생과 함께 운영하던 중 아름다운 카티야를 만나게 되고 그녀의 소개로 길거리 레이싱을 즐기는 다른 친구들을 만나게 된다. 하지만 녀석들의 우두머리인 도커의 꾐에 넘어가 빚을 지게 되고 그걸 갚기 위해 어쩔 수 없이 차량 도난에 가담하게 된다. 도커의 전 여자친구였던 카티야와 도커와 함께하는 다른 친구들 역시 어떤 형태로든 빚을 지고 있다는 것을 깨달은 스테판은 도커를 따돌리려고 하지만...  한편, 도로의 무법자들 때문에 골머리를 썩던 경찰은 대대적인 작전을 통해 놈들을 체포하려고 하나 계획은 실패하고 오히려 농락당하며 성과를 전혀 내지 못한다. 그러던 중 경찰인 카티야의 아버지가 차량 도난 사건 뒤에 더 큰 범죄 조직이 있다는 것을 알게 되고, 조직의 흔적을 쫓기 시작하는데...,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,81353,런어웨이 걸,코미디, 드라마,데릭 마티니,클로이 모레츠, 블레이크 라이블리, 에디 레드메인,알코올중독자 엄마, 백수한량 아빠와 함께 ‘네브라스카’ 깡 촌에 살고 있는 13세 소녀 ‘룰리’는 자신의 인생이 불행하고 고달프다고 생각한다. 어느 날, 엄마가 다른 남자와 집을 나가버리고, 아빠마저 홧김에 떠나버리자 혼자 남게 된 ‘룰리’는 TV광고를 보고 ‘라스베가스’로 가기로 마음 먹는다. 옷 몇 벌과 지도, 생일선물로 받은 권총 한 자루를 가방에 넣고 나선 길에서 ‘룰리’는 우연히 같은 방향으로 가던 ‘에디’의 차를 얻어 타게 된다. 하지만 그와 동행한지 얼마 안돼 말싸움으로 차에서 내리게 된 ‘룰리’는 이번엔 젊고 예쁘지만 어딘가 비밀을 간직한 듯한 ‘글렌다’의 차를 얻어 타게 되는데…,,,,,,,,,,,,,,,,,,,,,,,,,
2014,123034,런어웨이걸의 정사,멜로/로맨스,아사오 마사히로,아오야마 로라, 니시 코이치로,주인공 마키는 야쿠자 조직에서 비밀리에 거래되는 돈을 훔쳐 연인 아키오와 멀리 떠나 둘이서 평화롭게 살고자 하는 꿈이 있다. 한편 야쿠자의 간부 아와츠는 조직의 자금 7억을 잠시 빼돌려 한국 조폭들과 거래를 하기 위해 아키오에게 운전을 시켜 이동하다가 복면을 한 강도들(마키와 켄지)의 습격을 받아 돈 가방을 털린다. 아키오는 당장 돈을 쓰면 의심을 받을 수 있으니 잠시 동안 류진산에 묻어두고자 산에 오르지만 친구인 켄지의 배신으로 목숨을 잃고, 켄지 역시 마키에 의해 죽임을 당한다.   한편, 류진산은 과거 731 부대가 비밀리에 연구를 하던 곳으로 좀비들이 들끓는 곳, 돈도 잃고 부하도 잃은 아와츠는 친구이자 킬러인 카리바를 고용해 마키를 찾아낸 뒤 그녀를 앞세워 돈 가방을 찾으러 다시 류진산을 오르는데 좀비들의 공격이 시작되는데...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,111527,런치박스,드라마, 멜로/로맨스,리테쉬 바트라,이르판 칸, 님랏 카우르, 나와주딘 시디퀴,매일 아침 인도 뭄바이에서는 5천여 명의 도시락 배달원이 부인들이 만든 점심 도시락을 남편의 사무실에 배달한다. 중산층의 평범한 주부 일라는 소원해진 남편과의 결혼생활에 활력을 불어넣고자 평소보다 더욱 맛있는 점심 도시락을 준비한다. 그러나 그녀의 특별한 점심 도시락이 정년 퇴임을 앞둔 중년의 외로운 회사원 사잔에게 잘못 배달되고 만다. 도시락을 받은 사람에 대한 일라의 호기심은 커져가고, 도시락이 다른 사람에게 배달된다는 사실을 알리는 대신, 도시락 안에 편지를 넣는다. 그렇게 시작된 도시락 편지를 통해 두 사람의 일상은 위안과 활력을 얻는다. 두 사람의 관계는 어느새 친구관계를 넘어 사랑의 감정으로 발전되어 커다란 혼란에 빠지게 되는데……,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,99094,레고 무비,애니메이션, 액션, 코미디,필 로드, 크리스 밀러,윌 페렐, 리암 니슨, 알리슨 브리,배트맨, 슈퍼맨, 원더우먼, 인어공주, 초록닌자,1980몇년 우주인, 미켈란젤로, 미켈란젤로 닌자거북이, 2002 NBA 올스타 등등  이들 마스터 빌더 사이에서 희망으로 선택된 평범한 미니피겨!  그의 작고 노란 손에 레고 세계의 운명이 달렸다!,,,,,,,,,,,,,,,,,,,
2014,106332,레드카펫,멜로/로맨스, 코미디,박범수,윤계상, 고준희,섹드립의 황제 조감독 진환(오정세), 할리우드를 능가하는 19금 CG계의 감성변태 준수(조달환), 입사하자마자 감춰왔던 음란마귀의 본색을 드러낸 엘리트 출신 막내 대윤(황찬성), 그리고 이들을 이끄는 19금계의 순정마초 감독 정우(윤계상).   백전 백승 무적의 시스템으로 19금계의 흥행 불패 신화를 새로 쓰고 있는 영화 제작사 ‘꼴’사단에게 떨어진 미션! “TOP 여배우를 캐스팅하라!”      자타공인(?) 흥행여신 정은수(고준희)를 전격 캐스팅한 어벤져스 군단은 은수와 함께 NEW 프로젝트를 시작한다. 하지만, 경력 10년 차 베테랑으로 여자에 대해서라면 더 이상 궁금할 것도 없었던 정우의 호기심을 제대로 자극한 은수 덕분에 시작부터 이들 사이엔 므흣야릇(?)한 썸의 분위기가 감지 되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,120067,레디액션 청춘,드라마,김진무, 박가희, 주성수,동해, 남성준, 김우린,<소문> 김진무 연출  “너 정말 혜리 동영상 봤어?”  학생 회장 선거 발표 당일 ‘정우’(이동해)는 여자친구 ‘혜리’의 임신 사실을 알게 되고, 학교에는 ‘혜리’의 섹스 동영상이 돌고 있다는 소문이 돈다. 곧이어 ‘정우’는 ‘햄릿’이라는 아이디를 가진 익명의 누군가로부터 동영상을 찾아내지 않으면 ‘혜리’의 임신사실을 전교에 퍼뜨리겠다는 협박문자를 받는다.  ‘정우’는 소문이 진짜 일리 없다고 생각하면서도 그런 말도 안 되는 소문을 퍼뜨린 장본인이 누구인지 그리고 ‘햄릿’은 또 누구인지 밝혀내려고 동분서주한다. 소문이 점점 미궁 속으로 빠져들면서 감정을 조절하지 못하게 된 ‘정우’는 결국 가까운 친구마저 믿지 못하고 사람들 앞에서 숨겨왔던 불안한 감정을 터뜨린다.    <훈련소 가는 길> 박가희 연출  “제발 군대 좀 가자! 쫌!!”  논산훈련소 입소를 해야 하는 ‘만재’(정해인)는 팔에 깁스까지 하는 노력 끝에 여자친구 ‘승아’(남지현)의 배웅을 받는데 성공한다. 그러나 우연히 ‘만재’의 고등학교 동창 ‘종구’(구원)를 차에 태우게 되면서 일이 꼬이기 시작한다. ‘종구’는 과거 ‘만재’에게 빵셔틀을 시켰던 전적이 있지만 현재는 이 시대 대표적 잉여, 고졸 백수 신세다. 게다가 지금 ‘종구’는 동네 양아치에 쫓겨 무작정 군대로 도망가던 중이다. 입소 전날 훈련소 앞에 도착해 ‘승아’와 오붓한 밤을 보내려던 ‘만재’의 계획은 수포로 돌아가고 급기야 ‘승아’의 차가 고장이 나면서 이들은 하룻밤을 길거리에서 보내게 된다.  과연 이들은 제 시간에 무사히 입대할 수 있을까?    <세상에 믿을 놈 없다> 주성수 연출  “돈 어딨어? 아까 굴다리 밑에 숨겼냐?”  인터넷으로 만난 20대의 세 젊은이는 개인 정보를 공유하지 않는다는 조건으로 서로를 이교수, 김사장, 박의원이라 부르며 지방의 작은 은행을 터는데 성공한다. 그들은 계획대로 인근 산 속의 폐가로 숨어들어 은행 강도에 썼던 옷가지들을 태우고 총을 묻는 등 증거를 인멸한 뒤 역할에 따라 정해진 비율대로 돈을 나눈다.  하지만 성공의 기쁨도 잠시, 기대보다 적은 액수에 김사장과 박의원은 실망하게 되고 급기야 휴대폰으로 확인한 은행강도 뉴스의 피해액과 차이가 나자 서로에 대해 의심하기 시작한다.    <플레이 걸> 정원식 연출  “세상에는 참 개념 없는 X들이 많아.”  도시 외곽에 위치한 A여자 상고. 회장 ‘고은’(서은아)을 중심으로 ‘혜영’, ‘보라’, ‘주희’는 학교를 휘어잡고 있는 일진 패거리 ‘플걸(play girl)’의 간부 멤버이다. ‘플걸’에는 16년째 매년 수학여행 때마다 전통적으로 내려오는 연례행사 ‘심판의 밤’이 있다. 수학여행의 밤이 되면 멤버들이 모여 플걸 회장의 심판으로 1:1 원터치 대결로 그녀들의 서열을 정한다. 그리고 일종의 ‘개념 없는 년(개년)’들의 리스트인 ‘개년록’에 올라 있는 아이들을 데리고 와 심판하는 것이다.  그런데 얼마 전에 전학 온 ‘연주’가 개년록에 등장하면서 심판의 밤은 이상하게 흘러가기 시작하고 그날 밤 잊을 수 없는 그녀들만의 통과의례가 펼쳐진다.    [2014년 제4회 홍콩한국영화제 개막작],,,,,,,,,,,,,,,,,,,,,
2014,122022,레디액션! 폭력영화,액션,정재웅, 최원경, 김도경,민호열, 오성근, 장우진,#1. Extreme <민호가 착하니 천하무적>   “도대체 저한테 왜 그러신 거예요?”  외딴 시골, 외근 후 서울로 향하던 ‘민호’는 길을 잃고 마을을 헤매다 동네 양아치들과 막장커플에게 돌연 무차별 폭행을 당한다. 그들을 향한 착하디 착한(?) 민호의 반격이 시작되는데…    #2. REAL <메이킹 필름>   “XXX야, 줄 풀어. 줄 풀라고!”  허름한 방, 밧줄로 온몸이 묶인 남자와 복면을 쓴 정체 모를 남자가 언성을 높이고 있다. 갖은 욕설과 비난이 계속되던 중, 급기야 복면 남자가 억눌러왔던 분노를 참지 못하는데…    #3. BITTER <나의 싸움>   “이기는 자가 강한 것이다”  한적한 동네 뒷골목, 어린 시절부터 유약했던 고등학생 ‘도경’은 강해지겠다는 일념으로 동네를 주름잡는 불량 일진회에게 겁 없이 대결을 신청하는데…,,,,,,,,,,,,,,,,,,,,,,,
2014,106298,레바논 감정,스릴러, 드라마, 멜로/로맨스,정영헌,최성호, 김진욱, 장원영,어머니의 첫 기일을 맞이한 헌우는 비어있는 지인의 집에 당분간 머물며 마음을 추스르고 유품을 정리하기로 한다. 1년이라는 시간이 지났음에도 어머니를 지키지 못했다는 사실에서 오는 슬픔과 분노는 여전히 그를 괴롭힌다. 어느 날 여자의 비명소리가 눈 쌓인 산동네의 적막을 깨고, 소리의 진원지를 찾아간 헌우는 산 중턱에서 노루 덫에 걸려 쓰러져있는 여자를 발견해 거처로 데려와 보살핀다. 서로의 이름도 알지 못하면서 하루 만에 묘한 유대감을 느끼기 시작한 그들 앞에 갑작스레 기이하고 공포스러운 사내가 나타나 여자를 데려가려 드는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,123067,레슨 인 러브,스릴러,레이븐 그레고리,베버리 린, 마크 웨일러,프리랜서 사진작가 ‘캐롤’은 자유분방한 사랑을 즐기는 여인이지만 마음 깊은 곳에는 남몰래 옛 연인 ‘잭’을 담아둔 채 그를 잊지 못하고 자신의 일에 빠져 지낸다. 어느 날, ‘캐롤’은 자신이 촬영한 사진을 현상하던 중 우연히 한 장의 사진 속에 이상한 장면이 찍혀 있음을 보게 되고, 경찰에 사진을 넘겨주며 수상한 사건을 의뢰하게 된다. 그 후, 사건에 휘말리게 된 ‘캐롤’은 이를 계기로 진정으로 사랑했던 ‘잭’과 다시 조우하게 되는데...  이 둘은 위협적인 사건에서 벗어나 다시 뜨겁게 사랑할 수 있을까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,124206,레쓰링,코미디,김호준,최성국, 강은비, 하나경,나름 잘 나가는 대학 교수님이지만 ‘그거’라면 자다가도 벌떡 일어나는 난봉꾼 ‘해주’(최성국).    하지만 작품적 영감을 간절히 원하는 그는, 작품을 위해서는 여자들과의 짜릿한 교감이 꼭    필요하다고 믿으며 자신의 난봉끼를 합리화하기 일쑤! 그런 ‘해주’와 위험한 동거 중인 당돌한 제자 ‘은희’(송은채).      “너는 학점 주고 나는 몸 주고!”   ‘해주’의 지위를 이용할 뿐인 ‘은희’의 눈이 질투로 반짝이기 시작했다! 모든 늑대들이 눈독 들이는    육감적인 몸매의 여교수 ‘신혜’(하나경)가 혜성처럼 둘 앞에 나타난 것. ‘신혜’에게 첫눈에 반한 ‘해주’는    그날로 ‘은희’를 정리하기로 하고, 멀고 먼 여정 끝에 ‘신혜’의 마음을 얻는데도 성공하지만 그녀에게    스토커까지 나타나 둘 사이를 방해하기 시작하는데…    이들의 솔직발칙 러브 타이틀 매치는 지금부터 시작이다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,113635,레이드 2,액션, 범죄, 스릴러,가렛 에반스,이코 우웨이스, 야얀 루히안, 줄리 에스텔,정부 고위층과 손잡고 마약 거래 등을 통해 권력을 키우며 자카르타를 접수한 두 개의 범죄 조직 '반군'과 '고토' 세력, 그리고 이들에게 매수된 경찰들로 인해 범죄의 소굴로 변한 도시. 경찰국의 내사반 반장은 두 범죄 조직과 부패 경찰들을 척결하기 위해 신입 경찰 '라마'를 잠입시킨다. 스스로 범죄자가 된 '라마'는 '반군' 가문의 후계자 '우초'가 복역 중인 감옥으로 들어가 그에게 접근한 뒤 출소 후 그의 조직에 들어가게 된다. 한편, ‘우초’는 새로운 범죄 조직인 ‘베조’ 일당과 함께 아버지를 배신하고 새로운 보스가 되려는 야심을 품는다. ‘우초’의 계획을 눈치챈 ‘라마’는 경찰들조차 적으로 돌아선 상황에서 홀로 범죄 조직 모두와 전쟁을 시작하게 되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,91064,레일웨이 맨,드라마,조나단 텝리츠키,콜린 퍼스, 니콜 키드먼, 제레미 어바인,2차 세계대전 참전 용사이자 철도 애호가인 에릭 로맥스는 어느 날 열차에서 우연히 만난 패티라는 여인과 사랑에 빠지게 되고, 결혼에 성공한다. 그러나 행복도 잠시 전쟁의 후유증이 그를 괴롭히는데, 이에 패티는 그를 도와주기 위해 참전용사 핀레이를 찾아가 에릭의 충격적인 과거를 듣게 된다. 바로 전쟁 도중 에릭이 일본군의 포로가 되어 끔찍한 고문과 구타를 당한 것. 결국 핀레이는 힘들어하는 에릭에게 그를 고문했던 헌병대 장교 나가세의 행적을 알려주며, 복수를 종용하는데….,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,89198,레커스,드라마, 멜로/로맨스,D.R. 후드,베네딕트 컴버배치, 클레어 포이, 숀 에반스,결혼 후 남편의 고향으로 이사해 행복한 나날을 준비하던 데이빗(베네딕트 컴버배치)과 돈(클레어 포이) 부부. 하지만 데이빗의 동생 닉(숀 에반스)의 갑작스러운 등장으로 부부의 평화로운 일상에 균열이 시작된다. 누구보다 믿고 의지했던 남편 데이빗에게 감춰왔던 비밀이 있다는 것을 알고 혼란스러워하는 아내 돈. 데이빗은 닉을 막아보려 전전긍긍하지만, 닉은 자꾸만 돈에게 의미심장한 말들을 흘린다. 커져가는 의심과 실망에 괴로워하는 돈을 바라보며 데이빗은 아내가 자신을 떠날지도 모른다는 불안에 휩싸이는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,92462,레퀴엠 포 어 킬러,스릴러,제롬 르 그리스,멜라니 로랑, 클로비스 코르니악, 체키 카료,비밀 정보기관에 소속된 미모의 킬러 ‘안나’는 피 묻은 과거를 청산하고 평범한 삶을 살기로 결심한다. 그녀에게 주어진 마지막 임무는 유명 오페라 가수인 ‘차일드’를 제거하는 것. ‘안나’는 소프라노 가수로 위장해 오페라 단원으로 들어가지만 예기치 않게 ‘차일드’와 사랑에 빠지게 되면서 위험한 상황에 처하게 되는데…  오페라가 시작되면, 그녀의 마지막 임무가 시작된다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,122050,렉스 다이아몬드의 흥망성쇠,범죄,버드 보티커,레이 던튼, 카렌 스틸, 일레인 스튜어트,잭은 비싼 목걸이를 훔치기 위해 치밀한 계획을 세운다. 알리바이를 위해 댄스 강사인 앨리스와 데이트를 하는 도중 범행을 시도한 것이다. 하지만 잭은 결국 감옥에 갇히고, 가석방으로 풀려난 뒤 앨리스와 함께 댄서로 일하며 살아간다. 그러던 어느 날 여전히 ‘한 건’을 노리고 있던 잭의 눈에 클럽을 찾은 갱단의 보스가 들어온다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,122014,렛츠고 시간탐험대 2,,김형오,전현무, 장동민, 유상무,우리 조상들이 살았던 리얼한 과거로의 여행! 영혼까지 탈탈 털리는 생고생(生古生: 살아있는 옛 삶을 살다) 버라이어티 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,131628,로그 호라이즌 2기,애니메이션, 판타지,이시히라 신지,테라시마 타쿠마, 카토 에미리, 마에노 토모아키,온라인 게임을 하던 일본인 게이머 약 3만명이 게임 속 세계로 소환되었다.   게임 세계의 상식과 중세 세계의 기술, 마법과 과학, 플레이어와 논플레이어가 섞인   혼돈으로 무질서해지는 세계에서 펼처지는 운둔형 외톨이 체질의 음흉한 주인공 시로에의 이야기, 그 두번째!,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,126902,로드킹,,,신현준, 장우혁, 연정훈,캠핑과 레이싱을 결합한 예능 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,122610,로맨스가 더 필요해,,문태주,전현무, 박지윤, 이창훈,연애와 관련한 솔직, 화끈, 담백한 얘기들을 풀어놓는 연애 토크쇼 프로그램,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,116938,로맨스가 필요해 시즌3,드라마,장영우,김소연, 성준, 남궁민,연애와 일, 사랑과 성공. 두 가지 모두를 쟁취하기 위해 고군분투하는 30대 여자들의 진짜 로맨틱 스토리를 그린 드라마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,130004,로맨스의 일주일,,,한고은, 조여정,화려한 스포트라이트 뒤에 숨겨진 그녀들의 진솔된 모습과 낯선 곳에서 기다리고 있을 그녀들을 설레게 할 그 누군가를 찾아 떠나는 로맨스의 일주일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,123094,로보싸커,애니메이션, 모험, SF,아룽,,천방지축 슛돌이 삼총사 레오, 조니, 마르코  게임과 축구에 빠져 지내는 단짝 삼총사 앞에 컴퓨터 게임 킹덤 힐 왕국의 아만다 공주가 나타난다  로봇군단의 사악한 마왕에게서 도망친 아만다 공주는 슛돌이 삼총사에게 킹덤 힐 왕국을 구해달라고 부탁한다.     공주를 위해 게임 속으로 들어간 슛돌이 삼총사  왕국을 구하기 위해서는 로봇군단 최강 축구팀과 축구 대결을 펼쳐야 하는데…  거대 로봇들의 무시무시한 공격에 맞선 슛돌이 삼총사는 과연 승리할 수 있을까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,66026,로보캅,액션, 범죄, SF, 스릴러,호세 파딜라,조엘 킨나만, 사무엘 L. 잭슨, 게리 올드만,범죄와 무질서로 혼란에 빠진 도시.   좋은 아빠이자 실력 있는 경찰로 평범하게 살아가던 ‘알렉스 머피’는 예기치 못한 사고로 인해 온 몸에 치명적 부상을 입는다. 로봇 테크놀로지의 기술을 가진 다국적 기업 ‘옴니코프’ 사는 아내 ‘클라라’에게 ‘머피’의 몸에 최첨단 하이테크 수트를 장착할 것을 제안하고,그녀는 목숨을 잃을 위기에 놓인 남편을 살리기 위해 그 요청을 받아들인다. 모두가 기다려온 완벽한 히어로 ‘로보캅’으로 재탄생한 머피는 ‘옴니코프’사의 체계적 훈련을 받으며 더욱 강력해지고, ‘클라라’는 기계처럼 변해버린 남편의 모습에 혼란스러워 한다. 한 치의 오차 없는 수트의 통제를 받으며 명령을 따라야 하는 ‘로보캅’. 하지만 그는 점차 스스로 수트를 지배하기 시작하고 그와 동시에 자신을 새롭게 태어나게 한 수트와 도시 이면에 거대한 음모가 숨겨져 있음을 깨닫게 되는데...!  그는 인간인가? 로봇인가?  새로운 히어로가 세상을 심판한다!,,,,,,,,,,,,,,,,,,,,,,,,,
