year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,
2015,134277,2015 베를린 필하모닉 신년음악회,공연실황,,사이먼 래틀, 베를린 필하모닉 오케스트라, 메나헴 프레슬러,베를린 필하모니홀에서 울려 퍼지는 흥겨운 리듬의 무곡와 피아노 협주곡 베를린 필하모닉은 오케스트라 전체의 능력과 예술성도 유명하지만, 단원들 개개인 역시 클래식 음악계의 슈퍼스타로 구성된 최고의 오케스트라 중 하나입니다. 신년음악회가 열리는 베를린 필하모니홀은 무대가 콘서트 홀 중앙에 위치해 있어 무대 전 면이 관객들에게 둘러싸여 있습니다. 전석 어디서나 생생한 사운드를 들을 수 있어 신년음악회는 그 가치를 더 하고 있습니다. 2015 베를린 필하모닉 신년음악회에서는 즐거움으로 가득한 모차르트의 피아노 협주곡 K. 488과함께 라모, 코다이, 브람스, 드보르작의 생기 넘치는 작품들이 연주될 예정입니다.,,,,,,,,,,,,,,
2015,138324,2015 베를린 필하모닉 유로파 콘서트,공연실황,사이먼 래틀,베를린 필하모닉 오케스트라,베를린 필하모닉의 창립기념을 기념하여 시작된 유로파 콘서트는 발트뷔네 콘서트와 더불어 베를린 필하모닉을 대표하는 양대 이벤트로 수많은 음악애호가들의 열렬한 사랑을 받고 있다. 매년 5월1일 유럽의 명승지를 순회하는 유로파 콘서트는 그동안 프라하, 마드리드, 런던, 피렌체, 상트페테르부르그, 베르사이유, 스톡홀롬, 베를린, 이스탄불, 리스본, 아테네, 부다페스트, 모스코바, 나폴리, 마드리드, 비엔나 등 유럽 주요 도시를 순회하여 연주해 왔다. 2015년 그리스에서 열리는 유로파 콘서트는 사이먼 래틀 경이 지휘를 맡는다.,,,,,
2015,134278,2015 빈 필하모닉 신년음악회,공연실황,,주빈 메타 ,오스트리아 무지크페라인 황금홀에서 맞이하는 새해인사! 173년 전통을 지닌 빈 필하모닉 오케스트라와 이 시대의 마에스트로 주빈 메타가 선사하는 벅찬 감동의 신년음악회. 빈 필하모닉 오케스트라의 수많은 음악회 중 가장 즐겁고 경쾌한 음악으로 구성된 신년음악회는 새해의 시작을 알림과 동시에 세계의 평화와 희망을 연주하여 듣는 이들에게 벅찬 감동을 선사합니다.,,,,,,,,,,,,,,,,,,,,
2015,138855,2015 빈 필하모닉 여름음악회,공연실황,주빈 메타 ,,매년 5월 여름의 시작을 알리며, 오스트리아 빈의 가장 대표적인 건축물이자 로코코 양식의 최대 걸작이라 불리는 쉔부른 궁전 앞에서 펼쳐진다. 조명과 별빛이 하나의 장관을 이루며 시민과 관광객 등 10만여명이 함께 즐기는 지상 최대의 클래식 여름음악회이다. 올해는 주빈메타가 지위하고 루돌프 부흐빈더가 피아노를 맡았다.,,,,,,,,,,,,,,,,,,,
2015,143017,2015 슈퍼모델 선발대회,,,,예비 스타를 꿈꾸는 스타일리시한 젊은이들의 도전! 꿈을 위한 도전이 새롭게 시작된다.  새로운 스타 탄생을 예고하는 2015 슈퍼모델 선발대회!   대한민국 패션,  엔터테인먼트 산업을 이끄는 SBS 슈퍼모델 서발대회!  모델을 넘어 다양한 분야에서 활동할 수 있는 끼와 재능을 지닌 예비 스타를 선발합니다.  올해 역시 모델경력 유무, 결혼 유무, 국적 제한, 신장 제한에 관계 없이! 남녀 모두 지원 가능합니다. 모델의 꿈을 실현하세요!,,,,,,,,,,,,,,,,
2015,135333,2015 테이스티로드,,,리지, 박수진,주말엔 테로랑 놀자! 당신의 맛있는 주말을 책임질 맛집 정보 프로그램,,,,,,,,,,,,,,,,,,,
2015,134802,2TV 저녁,,김찬호, 이은수, 이관형,도경완, 조충현, 정다은,공영방송 KBS가 저녁 시간대에 생생하게 살아 움직이는 대한민국 구석구석의 현장을 실시간으로 생생하게 전달한다. 유익하고 활기찬 정보와 따뜻하고 재미있는 이야기가 넘치는 저녁 프로그램,,,,,,,,,,,,,,,,
2015,115733,3데이즈: 라스트 서바이벌,코미디, 범죄, 드라마, 스릴러,길 벨로우스, 토니 판타지,길 벨로우스, 그렉 와이즈, 크리스토퍼 헤이어달,벤쿠버 출신의 보험사 직원인 잭은 하바나로 출장을 가게 된다. 하바나에서 여행 작가라고 자신을 소개하는 해리를 만나, 함께 시간을 보내며 둘은 친구가 된다. 그러던 어느 날, 만취가 된 두 사람은  나이트 파티에서 만난 여자들과 호텔을 가게 된다. 다음 날, 잭은 욕조에서 죽어 있는 해리를 발견하고 캐나다 대사관에 도움을 요청하지만, 오히려 암살 음모에 빠져들고 마는데…,,,,,,,,,,
2015,145120,4가지,드라마,홍두표,김희철, 김유정,두표와 결혼이 깨지고 혼란스러운 영미 앞에 나타난 기정은 기상천외한 행동으로 영미를 흔드는데… 이 둘의 사랑은 진짜일까?,,,,,,,,,,,,,,,,,,,
2015,135336,4가지쇼 시즌2,,,,매체에서 꾸며진 모습이 아닌 스타 본연의 모습을 다큐멘터리의 진솔함과 Mnet만의 깨알 재미를 통해 보여주는 프로그램,,,,,,,,,,,,,,,,,,,,
