year,code,title,genre,directors,actors,story,,,,,,,,,,,,,
2018,144183,28세 미성년,멜로/로맨스, 드라마,장 모,니니, 왕대륙, 곽건화,애인 '마오'의 달콤한 청혼만을 십 년째 기다린 스물여덟 살 '량시아'는 프러포즈는커녕, 그에게 차인 뒤 초콜릿을 먹고 수상한 능력을 얻게 된다.  다섯 시간 동안 겉모습은 그대로인 채, 마음만 열일곱 살 자신으로 돌아갈 수 있게 된 것.  열일곱이 된 '작은 량시아'는 지하철에서 만난 자유로운 청년 '얀'에게 첫눈에 반하게 되고, 그와의 짧지만 달콤한 데이트를 이어나간다.  하지만 열일곱, 스물 여덟 두 '량시아'의 평화로웠던 이중생활은 점점 꼬이기 시작하는데...        널 만나면 꼭 하고 싶은 말이 있어, 오락가락 그녀의 판타스틱 타임슬립 로맨스!,,,,,
2018,171414,5.18 힌츠페터 스토리,다큐멘터리,장영주,위르겐 힌츠페터, 조성하,80년 5월, 민주화를 촉구하는 시위와 항쟁으로 도시는 봉쇄되고 모든 전화선은 차단되었다.  언론 통제로 인해 광주의 참상이 철저히 외면당하고 있었던 그때!  위험을 무릅쓰고 잠입한 독일 특파원 ‘위르겐 힌츠페터’!  당시 대한민국 안에 철저히 고립된 도시였던 광주의 실상을   전 세계에 알린 ‘위르겐 힌츠페터’가 직접 촬영한 국내외에 한번도 공개되지 않았던  광주의 참혹한 현장과 그가 극비리에 시도한 세 번의 광주 잠행까지!  지금까지 알려지지 않았던 80년 5월 광주의 처절했던 민주항쟁의 모습을 최초로 확인한다.,,,,,,,,,,,
2018,154598,50가지 그림자: 해방,드라마, 멜로/로맨스, 스릴러,제임스 폴리,다코타 존슨, 제이미 도넌,모든 과거를 잊고 서로에게 더 깊게 빠져든 ‘크리스찬 그레이’와 ‘아나스타샤’.  그레이의 독특한 취향으로 시작된 이 비밀스러운 관계는  더 큰 자극을 원하는 아나스타샤로 인해 역전되고,  마침내 그녀의 본능이 지배하는 마지막 절정의 순간을 맞이하게 되는데…,,,,,,,,,
2018,178857,60일의 썸머,드라마,김희영,장광, 연준석, 안승균,아름다운 노년의 동일과 망나니 재훈의 가족스토리!    동네에서 제일 멋진 70대 노인 동일   테블릿pc를 보며 요리를 만들고 SNS에 사진도 올릴 줄 아는 신세대 노인   그야말로 홀로 즐기며 사는 멋진 노인이다.     그런 동일에게 최대의 위기가 닥친다.     연을 끊고 살던 아들이 재혼을 핑계로 손자를 맡기고 미국으로 떠난 것.   혼자만의 여유로운 생활을 만끽하던 동일의 삶은 굴러 들어온 돌인 재훈으로 인해 흔들리기 시작하고,   재훈은 재훈대로 세상에서 꼰 대가 제일 싫은 폭풍의 청년기이고   동일은 동일대로 황혼인생이 가장 중요한 황금 노년기 이다.     할아버지와 손자 동일과 재훈은 단 둘이 살아갈 생각에 암담하기만 한데…   그 즈음 동네에선 노인들을 상대로 한 범죄가 일어나고,   아무 일도 없기를 바라던 동일이지만, 동일 역시 범죄의 대상이 된다.     그런 동일을 위해 범인을 잡고자 재훈이 나서고, 동일은 재훈의 친구를 의심하는데…   과연 재훈은 할아버지 동일과 화해할 수 있을까?   동일이 간절히 바라던 찬란하고 아름다운 그의 황혼은 과연 어떻게 될까?,,,,,,,
2018,85578,7년의 밤,스릴러, 드라마,추창민,장동건, 류승룡, 송새벽,"우발적 사고   잘못된 선택  ""그날 밤"," 나는 살인자가 되었다""    인적이 드문 세령마을의 댐 관리팀장으로 부임을 앞둔 ‘최현수’.  가족이 지낼 사택을 보러 가는 날","  안개가 짙게 깔린 세령마을 입구에서 길을 잃고 헤매던 중 갑자기 뛰어나온 여자 아이를 쳐 교통사고를 낸다.  너무 놀란 ‘최현수’는 한 순간의 잘못된 선택으로 호수에 아이를 유기한다.    죽어버린 딸  시작된 복수  ""어떤 놈이 그랬는지 찾아서… 똑같이 갚아줘야지""    아이의 실종으로 마을은 발칵 뒤집혀 수색 작업이 시작되고",  결국 싸늘한 주검으로 돌아온 딸을 보자 광기 어린 분노에 사로잡힌, 마을 대지주이자 아이의 아버지 ‘오영제’.  사고가 아니라 사건이라고 판단한 그는 직접 범인을 찾기 위해 증거를 모으기 시작한다.    되돌릴 수 없는 선택,  7년 전 그날 밤, 모든 것이 시작되었다.,,,,
2018,149287,09-11,드라마, 액션,마틴 귀귀,찰리 쉰, 우피 골드버그, 지나 거손,2001년 9월 11일 아침.  세계무역센터에서 1층으로 향하는 엘리베이터에 탑승한 5명의 남녀.  하지만 이내 굉음과 함께 엘리베이터가 멈추고 만다.    인터폰을 통해 테러를 당했다는 소식을 들은 그들은  죽음을 직감하고 필사의 탈출을 감행하는데…    최악의 재난 상황,  기필코 살아남아야 한다!,,,,,,,,,
2018,162153,B급 며느리,다큐멘터리,선호빈,김진영, 조경숙,대한민국 며느리들이 짊어져 온  모든 억압과 착취에 맞서겠다는 B급 며느리 ‘진영’ 덕분에  오늘도 난 엄마와 진영 사이에서 등 터진 새우 꼴이 된다.    그런데 이상하다. 사람들이 나의 불행을 좋아한다.  그래서 난 나의 불행을 팔아먹기로 했다.  나를 갈아 넣으면 멋진 다큐 하나 나오겠지?,,,,,,,,,,,,
2018,166092,PMC: 더 벙커,액션,김병우,하정우, 이선균,글로벌 군사기업(PMC) 블랙리저드의 캡틴 에이헵(하정우)은  미국 CIA의 의뢰로 거액의 프로젝트를 맡게 된다.  그러나 작전장소인 DMZ 지하 30M 비밀벙커에는   약속된 타깃이 아닌 뜻밖의 인물, 북한 ‘킹’이 나타난다.  아시아 최고의 현상금이 걸린 킹, 그를 잡기 위해 캡틴 에이헵은 작전을 변경하고,  12인의 크루들과 함께 킹을 납치하는 데 성공한다.    하지만 또 다른 군사기업(PMC)의 기습과 미국 CIA의 폭격으로 함정에 빠져버린 에이헵과 블랙리저드팀.  결국 무너져버린 지하 비밀 벙커 안 부상을 입은 에이헵은  인질로 잡혀 있던 북한 최고의 엘리트 닥터 윤지의에게 도움을 요청하는데…    현 시각부로 작전 변경!  생존을 위한 리얼타임 액션이 시작된다!,,,,,,,,,
2018,173460,S걸의 덫,멜로/로맨스,하타나카 그레고리,,유흥업소에서 일하는 딕시는 오늘도 많은 남자들을 상대한다. 그러던 어느 날, 고객으로 만난 매력적인 남자 칼에게 마음을 뺏기게 되고, 그렇게 농도 짙은 데이트를 즐기기 시작한다. 한편 새로 취임한 지방 검사는 유흥업소를 상대로 강도 높은 단속을 이어나가고, 딕시가 일하고 있는 <캐로셀>에도 기습 단속하는데...,,,,,,,,,,
2018,174399,,,,,,,,,,,,,,,,,,
