year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,
2010,84277,2010 SBS연기대상,,,이범수, 박진희, 이수경,,,,,,,,,,,,,,,,,,,
2010,84276,2010 드림콘서트,,,희철, 신세경, 택연,,,,,,,,,,,,,,,,,,,
2010,78155,22 블렛,액션, 범죄, 스릴러,리샤드 베리,장 르노, 카 므라,냉혹한 마피아 대부 ‘찰리’. 22발의 총성과 함께 평온했던 삶은 산산조각 나고, 죽음으로부터 기적적으로 살아난 그는 임모탈(불사조)이라 불리게 된다. 하지만 그를 노리는 배신자들은 친구와 가족까지 위협하며 더욱 거세게 숨통을 죄어오는데… 영화제 소개글. 샬리는 마피아에서 은퇴하고 아들과 함께 새로운 삶을 살려고 한다. 괴한의 습격에서 극적으로 살아 남은 샬리는 자기를 죽이려고 한 사람을 찾아 복수를 결심한다. 프랑스의 대표적인 배우 중 하나인 장 르노의 중후하면서도 차가운 연기가 돋보이는 &amp;lt22 블렛&amp;gt은 실화를 바탕으로 만든 작품.,,,,,,,,,,,,,,,,
2010,80470,2AM SHOW,,정성복,투에이엠, 조권, 이창민,서로 다른 공간에서 살지만 ‘음악’이라는 같은 꿈을 가지고 있던 4명의 소년들, 운명적으로 JYP에서 만나게 되고 마침내 새벽의 감성을 담은 2AM으로 데뷔, 한 목소리로 노래를 부르기 시작한다. 소년에서 이제 감성돌로 변신해 짜릿하고 생생한 콘서트 실황과 단 한번도 공개된 적 없는 버라이어티한 특별 영상과 토크 등을 통해 가장 매력적인 콘서트 무대를 펼치게 되는 2AM! 특별 콘서트 실황과 함께 그들의 과거, 현재 그리고 그들이 꿈꾸는 미래에 대한 스토리가 &amp;lt2AM SHOW&amp;gt에서 펼쳐진다.,,,,,,,,,,,,,,,
2010,53152,500일의 썸머,코미디, 드라마, 멜로/로맨스,마크 웹,조셉 고든 레빗, 주이 디샤넬,운명적 사랑을 믿는 남자 ‘톰’ 모든 것이 특별한 여자 ‘썸머’에 완전히 빠졌다.  사랑은 환상일 뿐이라고 생각하는 여자 ‘썸머’ 친구인 듯 연인 같은 ‘톰’과의 부담 없는 썸이 즐겁다.  “저기… 우리는 무슨 관계야?”  설렘으로 가득한 시간도 잠시 두 사람에게도 피할 수 없는 선택의 순간이 찾아오는데…  “우리 모두의 단짠단짠 연애담!” 설레는 1일부터 씁쓸한 500일까지 서로 다른 남녀의 극사실주의 하트시그널!,,,,,,,,,,,,,,,,,
2010,75719,60년전, 사선에서,다큐멘터리,박성미,,전쟁이 일어난 지60년이 지난 2010년, 흑백 필름 속에 존재 했던 젊은 사병들이 백발 노인이 되어 그때 그 순간의 기억들을 육성으로 남긴 전쟁 기록 다큐멘터리. 연출의 변. “2009년, 종군기자들이 촬영한 6.25전쟁 미공개필름이 발견되었다. 문득 60년동안 저 전쟁속에 있었던 스무살 청년들의 이야기가 듣고 싶어졌다. 보훈병원에서 전쟁기념관에서 전우회에서 만난 노인들은 60년전의 그날 그 시간, 내 옆의 전우의 이름까지 모두 기억하고 있었다. 죽어도 잊지 못할 기억을 가진 늙은 노병들과 기억조차 없는 내가 60년의 기억을 공유한다. 나는 이제 영화를 통해 이들을 기억하게 될 것이다.” 참고사항. 한국전쟁 60주년을 기념해 제작된 다큐멘터리 영화. 2009년 발견된 미공개필름 ‘정의의 진격’영화필름과 전쟁 당시 스무살 남짓의 젊은 군인들의 육성증언에 기반해 기획 및 제작됐다.,,,,,,,,,,,,,,,,
2010,39966,7월 32일,드라마,진승현,박은수, 김정균, 성혜림,1985년 7월 31일. 쫓기는 신세가 된 '만수'는 다섯 살 배기 딸 '꽃님'에게 내일 데리러 온다는 약속을 하고 떠난다. 제각기 기구한 운명에 휩쓸린 부녀는 결국 재회하지 못한 채 오랜 세월이 흐르고, 그 세월의 두께는 두 사람을 서로 마주쳐도 알아보지 못하는 타인으로 만든다. 기다림에 멈춰버린 애틋한 시간, 그들의 시간은 다시 흐를 수 있을까.,,,,,,,,,,,,,,,,
2010,53149,8인: 최후의 결사단,액션, 드라마,진덕삼,견자단, 사정봉, 양가휘,1906년 10월 15일, 비바람이 몰아치는 혼돈의 땅 홍콩. 동맹회 13성의 대표와 만나 혁명을 위한 봉기를 계획하기 위해 영웅 ‘쑨원’이 도착한다. 하지만 그를 암살하려는 수백 명의 자객들이 잠입하고, 흩어져 살던 8인의 숨은 고수는 스스로 표적이 되어 영웅을 지키려 한다. 혁명을 도모하기 위한 1시간, 끝없이 등장하는 암살자들로부터 영웅을 구하려는 8인의 목숨 건 사투가 시작된다.,,,,,,,,,,,,,,
2010,50598,A-특공대,액션, 모험, 스릴러,조 카나한,리암 니슨, 브래들리 쿠퍼, 제시카 비엘,최고의 실력을 자랑하던 특공대가 돌연 자취를 감춘 지 1년. 누구도 해결할 수 없고, 아무도 도울 수 없는 문제들을 해결하기 위해 최고의 해결사 A-특공대가 되어 다시 돌아왔다! 비상한 두뇌 회전의 소유자 한니발의 기상천외한 작전 지휘 아래, 작업의 달인 멋쟁이의 수려한 외모와 화려한 언변으로 실마리를 풀면 두려움을 모르는 짐승 파이터 B.A가 선방을 날리고 똘끼 충만한 천재 돌+I 파일럿, 머독의 화려한 공중전이 펼쳐진다!,,,,,,,,,,,,,
2010,54177,G-포스: 기니피그 특공대,가족, 액션, 모험, 판타지, 코미디,호잇 이트맨,빌 나이, 샘 록웰, 윌 아넷,,,,,,,,,,,,,,,
2010,53023,H2: 어느 살인마의 가족 이야기,공포, 스릴러,롭 좀비,쉐리 문 좀비, 체이즈 라이트 베넥, 스카우트 테일러-콤프튼,,,,,,,,,,,,,,,,,,
2010,90565,MBC 일요 드라마 극장,드라마,김윤철, 정대윤, 이태곤,양미경, 김갑수, 나문희,정규 4회와 추석 특집 1회를 포함 다섯 편의 단막극을 선보이는 프로그램. 추석특집 -  주부 김광자의 제3활동/ 1회 - 나야, 할머니/ 2회 - 도시락/ 3회 - 사랑을 가르쳐 드립니다 / 4회 - 조은지 패밀리,,,,,,,,,,,,,,,
2010,39555,P.S 온리 유,코미디, 드라마, 판타지, 멜로/로맨스,딜런 키드,로라 리니, 가브리엘 번, 로이스 스미스,죽은 첫 사랑의 연인과 너무도 닮은 한 남자와의 사랑을 그린 로맨스 드라마.,,,,,,,,,,,,,,,
