year	code	title	genre	directors	actors	story	
2016	151587	1%의 어떤 것		강철우	하석진, 전소민	안하무인 재벌 호텔리어와 초등학교 선생님의 유산 상속을 둘러싼 좌충우돌 바른 생활 로맨스
2016	140265	13시간	액션, 드라마, 스릴러	마이클 베이	존 크래신스키, 제임스 뱃지 데일, 맥스 마티니	2012년 9월 11일 리비아에서 끔찍한 테러 사건이 발생한다. 벵가지 소재 미국 영사관에 총기와 수류탄을 든 수십 명의 무장 괴한들이 침입하는 충격적인 사건이 벌어진 것. 벵가지에서 비밀리에 작전을 수행하고 있던 CIA를 보호하기 위해 파견된 6명의 민간 특수 용병들은 남아있는 사람들을 구하기 위해 일촉즉발의 구출작전에 나서게 되는데…
2016	155172	1820: 잃어버린 제국의 비밀	액션, 모험, 판타지	유리 모로즈	알렉세이 키르사노프, 안나 스타센바움, 막심 마트리브	19세기 초 아메리카 대륙을 점령했던 러시아군에 대해 조사를 하던 기자 드미트리는 어느 한 순간 갑자기 19세기 러시아군 한복판에 떨어진다. 자신이 등장하면서 그만 역사가 뒤바뀌었다는 사실을 알아차린 드미트리는 어떻게든 이를 원상복귀 시키고자 전쟁터에 직접 뛰어들기 시작한다.
2016	154120		
2016	149721	1942: 최정예특수부대 스페츠나츠	드라마, 전쟁	레나트 다블레티아로프	피요트르 피오도로프, 아나스타시야 미쿨기나, 크리스티나 아스무스	1942년 늦은 봄, 제2차 세계대전이 극에 치달을 무렵 전선과는 다소 멀리 떨어진 한적한 곳에 있는 소련 여군 대공포부대 지역에 독일군 무장친위대가 소련의 주요 보급로인 키로프 철로와 백해-발트 운하를 폭파하기 위해 침투를 시작한다. 바스코프 상사는 총조차 제대로 쏴본 적 없는 5명의 여자 대공포부대원을 데리고 나치의 계획을 저지하기 위해 나선다. 하지만 2명으로만 알았던 독일군의 숫자가 16명인 것으로 드러나면서 바스코프와 여자 부대원들은 당혹감을 감추지 못하는데...
2016	150546	2016 빈 필하모닉 여름음악회	공연실황		빈 필하모닉 오케스트라, 카티아 라베크, 마리엘레 라베크	비엔나 쉔부른 궁전에서 펼쳐지는 아름다운 한여름 밤의 콘서트. 여름의 시작을 알리는 빈 필하모닉 음악회가 올해에도 여름 밤 별빛 아래에서 아름다운 선율을 선사한다. 유네스코 세계문화유산에 등재된 쉔부른 궁전의 독특한 분위기를 생생하게 느낄 수 있는 여름음악회는 매년 10만 여명의 관객, 전세계 80여 나라와 함께한다. 2004년부터 시작된 여름음악회는 주빈 메타, 다니엘 바렌보임, 구스타보 두다멜과 같은 세계적인 마에스트로들이 지휘를 맡았으며, 올해는 세묜 비치코프의 지휘로 펼쳐진다.[공연정보] - 현지공연: 2016년 5월 26일 (금) 20:30 - 공연장소: 오스트리아 빈 쉔부른 궁전 (Gardens of the Schonbrunn Palace, Vienna)- 연주: 빈 필하모닉 오케스트라 (Vienna Philharmonic Orchestra)- 지휘: 세묜 비치코프 (Semyon Bychkov)- 피아니스트 : 카티아 &amp; 마리엘 라베끄 Katia and Marielle Labeque [프로그램] - 조르쥬 비제 - 아를르의 여인, 제 2모음곡 중 ‘파랑돌’- 루이 엑토르 베를리오즈 - ‘파우스트의 겁벌’, op. 24 중 라코치 행진곡- 프란시스 풀랑크 - 두 대의 피아노와 오케스트라를 위한 콘서트, 라 단조, FP 61- 카미유 생상스 - 동물의 사육제, 피날레- 모리스 라벨 - 다프니스와 끌로에, 제 2모음곡- 모리스 라벨 - 볼레로, 오케스트라를 위한 발레- 자크 오펜바흐 - ‘호프만 이야기’ 중 ‘캉캉’[쉔부른 궁정 정원 Gardens of the Schonbrunn Palace] 빈 필하모닉의 여름음악회가 열리는 무대는 오스트리아의 수도 빈에 위치한 쉔부른 궁전과 그 정원이다. 합스부르크 왕가의 여름 별궁으로 사용되었던 이 궁전은 6살의 모차르트가 마리아 테레지아 여제 앞에서 신비로운 피아노 연주를 했던 곳이기도 하다. 유네스코 세계문화유산에 등재된 바로크 양식의 쉔부른 궁전 정원의 무대는 잊을 수 없을 정도로 인상적이다.
2016	153476	2016 잘츠부르크 - 다나에의 사랑	공연실황		크라씨미아 스토야노바, 토마시 코니에츠니	파산한 왕 폴룩스는 무엇보다도 자신의 딸 다나에가 부유한 남자, 미다스와 결혼하기를 원한다. 다나에에게 반한 주피터는 미다스로 변장한 채 그녀에게 접근한다. 노새를 모는 가난한 미다스는 주피터가 자신의 모습으로 변장하는 것을 허락하는 대가로 손대는 모든 것을 황금으로 만드는 능력을 보상받기로 하였다. 그리하여 미다스는 신하 역할을 하며 주피터를 동행한다. 의상을 준비하기 위하여 먼저 보냈던 미다스가 다나에와 마주치고 계획은 완전히 틀어진다. 미다스와 다나에는 첫눈에 사랑에 빠졌다. 주피터가 미리 다나에의 꿈 속 찾아가 황금빗줄기로 그녀를 황홀하게 만들었는데 이를 통해 다나에가 자신의 진실된 감정을 깨닫게 되었던 것이다. 하지만 미다스가 다나에를 만났을 때 주피터에 의해 빼앗겼던 황금을 만드는 능력이 다시 돌아오고 다나에는 황금 동상으로 변하게 된다. 몹시 노한 주피터는 다나에에게 2가지 선택권을 준다. 신중의 신 주피터를 선택하거나 황금을 만드는 능력이 사라져 다시 가난해진 미다스를 선택하거나. 다나에는 미다스를 선택하고 둘은 궁핍하지만 행복한 삶을 꾸려나간다. 주피터는 마지막으로 다나에의 환심을 사기 위해 그녀를 찾지만 행복한 커플의 모습에 주피터는 황금으로 진정한 사랑을 살 수 없다는 것을 인정할 수 밖에 없게 된다. 주피터는 그들의 사랑을 비롯한 모든 인간의 사랑을 축복하며 노래한다.
2016	151101	2016 잘츠부르크 - 카메라타&유자왕 콘서트	공연실황			카메라타 잘츠부르크 Camerata Salzburg 오스트리아 잘츠부르크에 적을 두고 있는 실내관현악단으로, 유명 지휘자이자 음악학자인 베른하르트 파움가르트너가 1952년 설립한 잘츠부르크 모차르테움의 카메라타 아카데미카로부터 출발한다. 이 앙상블은 그의 동료 음악 선생과 모차르테움의 학생들로 구성되어 있었다. 파움가르트너는 1971년 그가 타계할 때까지 수석지휘자로 활동하였으며 그 이후 로저 노링턴, 레오니다스 카바코스를 비롯한 세계적인 음악가들이 거쳐갔다.카메라타 잘츠부르크는 매년 세계를 돌아다니며 약 80개 정도의 콘서트를 개최한다. 특히 러시아, 일본, 멕시코와 유럽 전 지역, 중앙 아시아, 남미 대륙까지 다양한 지역에서 콘서트를 열고 있다. 정기적으로 잘츠부르크 페스티벌 무대에 올라 명성 있는 독주자, 지휘자와 함께 특별한 작품을 연주하는데 이는 특히 세계 각지에서 몰려온 클래식 팬들에게 큰 인기를 끌고 있다. 유자왕 Yuja Wang 유자 왕의 피아노 철학은 정교함과 날렵함, 눈부신 재간, 마음을 녹이는 서정적인 선율을 만들어내는 풍부한 힘으로 점철된다. 또한 그녀가 무대 위에서 보여주는 탁월한 아름다움과 음악적 역량은 그녀가 이룬 피아니스트로서의 성취를 가능하게 했다. 유자 왕은 지금 이 시대 가장 뛰어난 피아니스트 중 하나로 세계적으로 인정받고 있다. 최근 할리우드볼에서 열린 유자 왕의 공연에 대하여 로스엔젤레스 타임즈는 다음과 같은 리뷰로 극찬했다. ?그녀가 보여주는 차분하고 훌륭한 건반 위의 묘기는 위대한 피아니스트였던 프로코피예프는 물론, 전설적인 호로비츠까지 질투하게 만들었을 것이다“ 유자 왕의 놀랄만한 기교와 뛰어난 컨트롤 능력은 비평가들의 감탄을 자아냈다. 그녀가 보여주는 명료한 음악적 통찰력과 신선한 작품 해석, 우아하면서도 무대를 압도하는 카리스마는 유자 왕에게 수많은 수상의 기쁨을 안겨주었다. 리오넬 브랑기에 Lionel Bringuier 리오넬 브랑기에는 음악가 집안에서 태어나 5살에 니스음악원에서 음악공부를 시작했다. 뛰어난 실력으로 파리음악원에 진학하여 세계적인 첼리스트 필립 뮬러와 지휘자 졸트 네이지에게 배웠다. 2005년, 그는 49회 국제 브장송 콩쿠르에서 젊은 지휘자 상을 수상하며 세계적으로 주목 받았다. 그 후 지휘자로서 활발하게 활동하고 있으며 2012년, 취리히 톤할레 오케스트라에서 수석지휘자로 발탁되어 현재까지 그 경력을 이어오고 있다. 유자 왕과 리오넬 브랑기에는 이번 콘서트로 잘츠부르크 페스티벌에 데뷔할 예정으로 많은 이들의 관심을 받고 있다.
2016	151100	2016 잘츠부르크 - 파우스트	공연실황		표트르 베찰라, 일다르 아브드라자코프, 마리아 아그레스타	‘파우스트’는 신학, 철학, 법학, 의학 등 여러 학문을 통하여 우주의 지배원리를 깨닫지만, 백발의 노인이 된 후, 이러한 학문들의 부질없음에 회의를 느끼고 목숨을 끊으려 한다. 이 때 나타난 악마 메피스토펠레스는 그에게 “젊음과 영혼의 거래”를 제안한다. 순결한 처녀 마르그리트와의 아름다운 사랑과 악마의 유혹에 갈등하는 파우스트. 그는 완전성을 추구하며 노력하지만 불가능에 절망하여 방황하는 모순된 인간을 상징적으로 표현하고 있다. 이에 반해 메피스토펠레스는 고통과 삶의 의미를 부정하고, 본능만으로 현세를 살아가고자 하는 파괴적 존재로, 부정과 불신, 회의와 소멸 등을 상징한다. 이 둘의 대립 가운데, 순수하고 깨끗한 영혼을 지닌 마르그리트는 파우스트와의 순수한 사랑의 결과로 임신을 하고 아기를 낳는다. 여성의 자기파괴적인 헌신과 인내, 그리고 무한한 희생을 대표하는 그녀는 파우스트를 성적향락에 빠뜨리기 위한 대상으로 악마에게 이용당하지만, 순결하고 신성한 그녀의 순수함으로 천상의 구원을 받게 된다.
2016	147365	22분: 아덴만 구출작전	액션, 범죄	바실리 세리코프	마카르 자포로스키, 데니스 니키포로브, 빅토르 슈크호루코브	소말리아 인근 아덴만 해상에서 러시아 대형 유조선이 해적에게 납치당한 사상 최악의 사건. 유조선을 장악한 해적들은 선원들을 인질로 잡아 몸값을 요구하고, 정찰을 나온 해군부대가 이 사실을 알아차리면서 사태는 일촉즉발로 흘러간다.
