year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,
2013,110743,KBS 드라마 스페셜 단막 2013,드라마,,,다양하고 완성도 있는 이야기로 제작된 단편드라마를 담은 프로그램,,,,,,,,,,,,,,,
2013,107925,KBS 파노라마,다큐멘터리,,,정치, 경제, 역사, 자연, 사회, 문화, 인물, 환경, 과학, 문명, 국제 등 모든 분야에 걸쳐 공영방송 KBS의 역량을 모두 모아 만든 최고의 다큐멘터리.,,,,,
2013,113579,Mr. 살림왕,,,김성주,가정일에 서툰 남자 연예인들이 아내의 삶을 살아가는 모습을 리얼하게 담은 관찰 프로그램,,,,,,,,,,,,,,,
2013,117554,MUST,,,윤도현,눈과 귀, 감성까지 모두 충족시켜주는 진정성 있는 라이브 무대 위는 물론 다양한 장소에서 느껴보는, 음악의 모든 순간들 MC, 아티스트, 관객이 하나가 되어 제대로 즐겨보자,,,,,,,,,,,
2013,109730,MUST 밴드의 시대,,최효진,윤도현밴드,,,,,,,,,,,,,,,,
2013,103641,PLAY GUIDE,드라마,,손담비, 박민우, 박재민,연애 고민을 듣고 해결해주는 회사 ‘러브 에이전트’의 CEO와 기획실장을 중심으로 의뢰인의 사랑을 이루어지게 해준다는 내용의 드라마.,,,,,,,,,,,,,
2013,80998,R.I.P.D. : 알.아이.피.디.,액션, 코미디, 범죄, 판타지,로베르트 슈벤트케,라이언 레이놀즈, 제프 브리지스, 케빈 베이컨,범인을 쫓던 중 사망하게 된 경찰 ‘닉’. 눈을 떠보니 처음 보는 이상한 사무실에 도착해 있다. 그곳은 인간들을 괴롭히는 불량 유령들을 잡아들이는 사후 강력계 형사반. 일명 R.I.P.D. (Rest in Peace Department)이다.  자신의 의지와는 상관 없이 불량 유령 퇴치 전담부서 R.I.P.D. 에 강제 배치된 닉은   엉겁결에 R.I.P.D. 최고의 에이스 ‘로이’의 파트너로 낙점되어 블록버스터급 임무에 투입되는데…  과연 닉과 로이는 환상의 호흡으로 인간 세상에 찾아온 초유의 위기를 해결할 수 있을까?,,,,,,,,,,
2013,118102,RDG 레드 데이터 걸,드라마,시노하라 토시야,하야미 사오리, 우치야마 코우키, 요네자와 마도카,세계유산으로 인정된 쿠마노코도. 그 곳에 고요히 서 있는 타마쿠라 신사. 스즈하라 이즈미코는 신사의 궁사로 있는 할아버지에게 자라서 바깥 세계를 거의 알지 못한다. 길게 땋은 머리와 안경, 그리고 매사에 소극적인 성격의 소유자 이즈미코.  그녀가 컴퓨터나 휴대폰을 건들면 어쩐 이유인지 다운되어 버린다.  『좀 더 펑범한 여자 아이가 되고 싶어』 주위와 다른 자신에 대하 고민하던 어느 날, 소꿉 친구 사가라 미유키가 타마쿠라 신사에 나타나고 이즈미코가 다니는 중학교에 전학을 오는데...  이즈미코 자신도 아직 알지 못하는 거대한 운명이 조용하게 움직이기 시작한다!,,,,,,,,,,,
2013,130212,TV로펌 법대법,,,정은아,변호사 말만 들으면 똑똑하고 현명하게 인생에 대처할 수 있다! 각 분야 고수 변호사가 생활전반의 법률문제를 모두 커버한다. 변호사들이 생생한 경험과 실제사건을 통해 축적한 자신만의 필살기와 대처법을 낱낱이 공개한다. 대한민국 최고의 변호사들이 자신의 내공을 걸고 알려주는 생활 메뉴얼! 실제 판결을 쉽고 코믹하게 재연한 실화극장과 알찬법률정보와 허를 찌르는 변호사들의 필살기 공방을 통해 더욱 더 버라이어티해졌다! 정보와 재미를 제공하는 생활밀착형 법률버라이어티! TV로펌 법대법!,,,,,,,,,,,,,,,
2013,101776,TV소설 삼생이,드라마,김원용,홍아름, 손성윤, 차도진,몸이 허약해 죽을 위기를 맞이했던 여주인공이 직접 한의사가 되어 고난을 겪은 뒤 성공하게 되는 이야기.,,,,,,,,,,,,,
