year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,
2013,96358,21 앤드 오버,코미디,존 루카스, 스콧 무어,마일즈 텔러, 스카이라 애스틴, 저스틴 전,고등학교 졸업 이후로 소원했던 세 죽마고우. 케이시와 밀러는 21번째 생일을 맞은 제프에게 깜짝 파티를 열어주기 위해 연락도 없이 그의 집을 찾아간다. 제프는 다음날 일생일대의 의대 면접을 앞두고 있지만 밀러의 강요에 못 이겨 두 친구를 따라 나서게 되고, 딱 한 잔만 하겠다는 계획과 달리 완전히 만취해버린다. 케이시와 밀러는 그를 집에 돌려보내기 위해 애쓰지만 그럴수록 일은 점점 꼬여만 가는 데… 과연 제프는 내일 무사히 면접을 치를 수 있을까?,,,,,,,,,,,
2013,89859,2차 노출,멜로/로맨스, 드라마, 미스터리,리 위,판빙빙, 풍소봉, 곽사연,성형외과 전문의 송치는 어느 날 자신의 애인 류동과 가장 친한 친구 샤오시가 서로를 뜨겁게 탐닉하고 있는 모습을 목격한다. 충격에 빠진 송치는 류동에게 깊게 새겨진 샤오시의 흔적을 인정하지 못하고 찾아가지만, 결국엔 친구를 살해하고 만다.   얼마 후, 갑작스레 행방불명 된 샤오시를 찾는 경찰이 송치를 찾아오게 되면서 살인의 기억과 경찰이 점점 그녀를 압박해오자 결국 자신이 저지른 모든 일을 자백한다. 경찰들은 송치의 말 대로 샤오시가 매장된 곳으로 총출동 하고 땅을 파헤쳐 시체를 찾아 보지만 시체는 보이지 않고 대신 낯선 이름이 적혀져 있는 오래된 일기장이 발견 되는데… 어긋난 사랑…그 비밀이 벗겨진다!,,,,,,,,,
2013,102060,3096일,드라마, 범죄,쉐리 호만,안토니아 캠벨-휴즈, 투레 린드하르트,“나는 나타샤 캄푸쉬. 8년전 납치당했습니다.” 1998년3월2일, 열살 나타샤 캄푸쉬는 등교길에 납치당한다. 지하의 1.5평 작은방에 갇힌 나타샤. 범인은 그녀에게 “복종”만을 강요하고, 상습적인 구타와 폭언, 굶김으로 그녀를 사육하기 시작한다. 그가 누구인지, 왜 납치했는지 이유를 모른 채, 기아와 학대를 견디지 못하고 점점 그의 완전한 소유물이 되어가는 나탸샤. 8년뒤 어느 날 범인이 잠시 방심한 사이 탈출을 시도하는데…,,,,,,,,
2013,95099,33리,드라마,조승연,최석용, 김민경, 박성일,꿈을 좇아오다 나이만 먹어버린 33살의 래퍼 석용.  나름대로 열심히 노력해보지만 현실은 생각보다 쉽지 않다. 이런 석용에게 엄마의 지나친 관심은 늘 갑갑하기만 하다.,,,,,,,,,,,,,
2013,93094,48미터,드라마,민백두,박효주, 이진희, 하석,북한과 중국의 거리가 48미터 밖에 안 되는 압록강지점 삶과 죽음의 경계에서 목숨을 걸고 이를 넘는 이들이 있다. 어릴 적 경계선에서 부모님의 죽음을 목격한 자매. 눈 앞에서 사람을 죽여야만 하는 죄책감에 시달리는 군인. 사랑하는 사람과 지독한 이곳을 벗어나야만 하는 커플. 굶어 죽어가는 자식을 살려야 하는 부모. 아픈 아버지를 구하기 위해서 떠나야만 하는 딸.  목숨을 걸고 꼭 48미터를 넘어야만 했던 사람들의 숨막히는 실제 이야기  슬프고도 위대한 감동드라마가 시작됩니다.,,,,,,,,,,,,,
2013,99632,7급 공무원,드라마,김상협,최강희, 주원,신분을 감춘 국정원 요원들의 좌충우돌 로맨스를 그린 드라마.,,,,,,,,,,,,,,
2013,94775,7번방의 선물,코미디,이환경,류승룡, 박신혜, 갈소원,최악의 흉악범들이 모인 교도소 7번방에 이상한 놈이 들어왔다! 그는 바로 6살 지능의 딸바보 '용구'!  평생 죄만 짓고 살아온 7번방 패밀리들에게 떨어진 미션은 바로 '용구' 딸 '예승'이를 외부인 절대 출입금지인 교도소에 반.입.하.는.것! 2013년 새해, 웃음과 감동 가득한 사상초유의 합동작전이 시작된다!,,,,,,,,,,,,
2013,112743,DMZ : DMZ를 바라보는 4가지 시선,,,수애,자연 생태계 DMZ부터 역사적인 공간 DMZ까지 지난 1년간 DMZ의 기록을 담은 다큐멘터리,,,,,,,,,,,,,,,
2013,118448,EXO's ShowTime,,,EXO,엑소에 대한 시청자들의 궁금증을 바탕으로 만들어가는 프로그램,,,,,,,,,,,,,,,
2013,116101,k-food 월드페스티벌 맛있는 도전,,,이정민, 김호진,미국, 프랑스, 중국, 멕시코 등 세계 10개국에서 한식요리 예선전을 거쳐 선발된 10인의 K-푸드 도전자들이 총 상금 1만 달러를 놓고 경연을 펼치는 추석 특집 프로그램,,,,,,,,,,,
