code,title,genre,directors,actors,running,story,,,,,,,,,,
208463,K클래식 제너레이션,다큐멘터리,티에리 로로,"임지영, 문지영, 조성진",1,전세계로 뻗어 나가고 있는 젊은 한국 클래식 음악가들의 노력과 도전에 대한 놀라운 이야기,,,,,,,,,,
218816,극장판 엄마 까투리: 도시로 간 까투리 가족,애니메이션,정길훈,"김서영, 이윤희 , 김은아",1,엄마 까투리와 꺼병이 4남매는 평화로웠던 숲이 아파트 개발로 위험해지자,<br/>정든 보금자리를 뒤로하고 서둘러 이사를 결심한다.<br/>건너편 산으로 가기 위해서는 위험천만한 도시 한 가운데를 지나야만 하는 상황!<br/>다행히 쥐돌이 가족의 도움으로 하룻밤 안식처를 구하지만, 그것도 잠시…<br/>호시탐탐 꺼병이들을 노리는 도시 길냥이들을 엄마가 혼쭐 내주는 사이,<br/>꺼병이들은 사라져버리고, 아이들을 찾아 나서는 엄마 역시 큰 위험에 처하게 되는데…<br/><br/>과연, 헤어진 엄마 까투리와 꺼병이 4남매는 무사히 새 집에 도착할 수 있을까?,,,,,
10670,천녀유혼,"판타지,공포, 멜로/로맨스, 액션",정소동,"장국영, 왕조현",1,살인자들의 수배에 걸린 현상금을 노리는 무인들과 온갖 범법자들로 인해 혼란한 중국의 한 시대, 남루한 행상으로 수금을 하러 다니던 영채신은 장부가 젖어 지워지는 바람에 착수금은 커녕 하룻밤 숙소도 구하지 못하고, 그는 하는 수 없이 어느 장의사가 가르쳐준 난약사라는 오래된 절을 찾아간다.<br/>그 절은 창백한 얼굴을 한 미모의 귀신이 남자들을 유혹한 뒤 살해하는 무서운 곳이나 영채신은 그것을 모르고 있다.<br/>섭소천이라는 그 귀신은 대가집의 딸로, 간신들의 모함으로 일가족이 죽음을 당해 나무 귀신에게 잡혀 다시 환생하지 못하고 있는 처지다.<br/>영채신은 아름다운 가야금 소리에 이끌려 소천을 만나고, 자신의 아름다움에 반해 있는 채신을 유혹하여 처치하려던 소천은 겁이 많으면서도 순박하기 그지 없는 그에게 사랑을 느끼게 되는데...,,,,,,
218444,아라시 20주년 투어 콘서트 5X20,공연실황,츠츠미 유키히코,"오노 사토시, 사쿠라이 쇼, 아이바 마사키",1,일본 국민 그룹 아라시의 데뷔 20주년 기념 콘서트 실황<br/>총 51회 공연, 누적 관객 수 237만 5천 명, 일본 역사상 최다 관객을 동원한 레전드 투어<br/>2019년 12월 23일, 아라시 멤버 5명과 5만 2천여명의 팬들이 함께 호흡했던 그날의 감동을 담다,,,,,,,
213733,극장판 주술회전 0,애니메이션,박성후,"오가타 메구미, 하나자와 카나, 코마츠 미카코",1,어릴 적 소꿉친구인 오리모토 리카를 교통사고로 눈앞에서 잃은 옷코츠 유타.<br/><br/>“약속해, 리카와 유타는 어른이 되면 결혼하기로”<br/>옷코츠는 원령으로 변한 리카의 저주에 괴로워한 나머지, 자신도 죽기를 바라지만 최강의 주술사인 고죠 사토루에 의해 주술고전에 들어가게 된다. 그리고 동급생인 젠인 마키, 이누마키 토게, 판다를 만나면서 굳은 결심을 한다.<br/><br/>“살아도 된다는 자신감이 필요해”<br/>“나는 주술고전에서 리카의 저주를 풀겠습니다”<br/>한편, 옷코츠와 친구들 앞에 과거에 일반인을 대량으로 학살해서 고전에서 추방된 최악의 주저사인 게토 스구루가 나타난다.<br/><br/>“12월 24일, 우리는 백귀야행을 결행한다”<br/>주술사만의 낙원을 만들려는 게토는 비술사를 섬멸하겠다면서, 신주쿠와 교토에 천의 저주를 내리는데…과연 옷코츠는 게토를 막을 수 있을까? 그리고 리카의 저주를 풀 수 있을까?,,,
188831,녹턴,다큐멘터리,정관조,,1,오직 음악만 잘할 뿐, <br/>자폐 스펙트럼 장애가 있는 ‘성호’는 <br/>엄마 ‘민서’가 없으면 혼자서 면도도 하지 못한다.<br/>엄마는 단 하나, ‘성호’의 음악을 위해 모든 걸 바쳤지만 <br/>동생 ‘건기’는 그런 형이 '하찮고 쓸모 없다'고 생각한다. <br/><br/>그러나, 시간이 흐르면서 형의 음악은 점점 빛을 발하고<br/>동생은 형과 엄마의 인생에서 무언가를 발견하게 되는데...,,,,,,,
14109,마음의 행로,"드라마, 멜로/로맨스",머빈 르로이,"로널드 콜먼, 그리어 가슨",1,전투 도중 부상을 입고 기억 상실증에 언어장애까지 겹친 챨스(Charles Rainer/John 'Smithy' Smith: 로날드 콜맨 분)는 종전 되던 날 안개를 틈타 수용소를 몰래 빠져 나온다. 그 뒤 챨스는 폴라(Paula: 그리어 가슨 분)를 만나 건강도 되찾고 결혼해 아들도 낳는 한편 작가로 입문하는데 리버풀에 연재기사를 계약하러 혼자 갔다 교통사고를 당해 폴라와 같이 산 세월만 기억을 못하게 된다. 명문의 아들인 챨스는 그 뒤 고향으로 돌아가 사업가로 대성하나 기억하지 못하는 세월 때문에 뭔가 늘 허전해 하며 열쇠를 만지작 거리며 산다. 한편 폴라는 잡지에 난 챨스의 사진을 보고 챨스의 개인 비서로 일하게 되고 사실은 밝히지 않고 챨스를 훌륭히 보필하면서 기억이 되살아 나기만 기다리며 안타까와 한다. 챨스가 국회의원이 되자 둘은 결혼해 형식적인 부부가 되어 폴라는 챨스의 의정활동을 돕다가 끝내는 기억이 되살아나 재회하게 된다.,,,,,,,,,,
172174,어느 가족,드라마,고레에다 히로카즈,"릴리 프랭키, 안도 사쿠라, 마츠오카 마유",1,안도 사쿠라,마츠오카 마유,할머니의 연금과 물건을 훔쳐 생활하며 가난하지만 웃음이 끊이지 않는 어느 가족.<br/>우연히 길 위에서 떨고 있는 한 소녀를 발견하고 집으로 데려와 가족처럼 함께 살게 된다.<br/>그런데 뜻밖의 사건으로 가족이 뿔뿔이 흩어지게 되고 각자 품고 있던 비밀과 간절한 바람이 드러나게 되는데…,,,,,,,,
217038,드래곤볼 슈퍼: 슈퍼 히어로,"애니메이션, 액션, 모험",코다마 테츠로,"노자와 마사코, 후루카와 토시오, 미나구치 유코",1,레드리본군은 손오공의 손에 절멸했다.<br/>그러나 레드리본군의 정신을 계속해서 이어받고 있던 몇몇 사람들이<br/>궁극의 인조인간 ‘감마1’과 ‘감마2’를 만들었다.<br/>이들 두 인조인간은 자신을 ‘슈퍼 히어로즈’라 부른다.<br/>이들이 피콜로와 손오반을 공격하기 시작하는데…<br/>레드리본군의 새로운 목표는 무엇인가?<br/>다가오는 위험에 맞서 이제 깨어날 시간이다, 슈퍼 히어로!,,,,,,,,,
213481,뽀로로 극장판 드래곤캐슬 대모험,애니메이션,"강승훈, 윤제완","이선, 이미자, 김현지",1,깊은 산속 드래곤캐슬에<br/>꼬마 드래곤 왕 아서의 막강한 힘이 봉인된 보석 ‘드래곤 하트’를 빼앗아<br/>왕이 되려는 수상한 마법사 게드가 나타난다.<br/><br/>한편, 우연히 ‘드래곤 하트’의 힘을 흡수한 크롱이<br/>자이언트 크롱으로 변하면서 뽀로로와 친구들 역시 위험에 처한다.<br/><br/>아서와 뽀로로와 친구들은<br/>악당 마법사 게드로부터 힘을 되찾고 친구들을 구하기 위해<br/>무적의 메카드래곤을 만들어 드래곤캐슬로 향하는데…!<br/><br/>뽀로로와 친구들의 판타지 액션 어드벤처!<br/>과연 드래곤캐슬과 소중한 친구들을 지켜낼 수 있을까?,,,,,,,,,
