45,"별점 먼저 보고 기대 없이 봐서 그런지도 모르겠는데, 충분히 재밌다. 주인공이 여배우라 액션이 좀 부족하지 않을까라는 내 선입견은 영화 후반부에 완전히 박살 났다. 영화 자체에 페미니즘 사상이 어느 정도 녹아있지만, 그것이 문제 될 요지는 전혀 없어 보인다. 현시점에 대한민국이라는 나라에 전염병처럼 퍼진 갑질을 역행하려는 왜곡된 페미니스트들과 또 여성차별을 당연시하려는 극우보수들이 문제지, 애초에 정상적인 페미니즘은 온건한 사상에 더 가까울지도 모르는 것이기에. 하지만 현실은 네이버 영화에 이 영화 평점이 여실하게 보여주고 있다."
47,아 이제 대놓고 얼탱이없는 반미 반일로 선동짓하는 영화 역겹다.
48,3D라서 걱정했는데 생각 이상으로 재미잇었습니다
49,아 역대급 망장3류 영화 돈내고 보지마 세요
50,"현대 미술, 청년 혁명, 범죄와 요리…에세이 잡지에 대한 찬가"
51,내 생에 제일 지루했던 영화공포 영호ㅓ인데 ㄹㅇ 찐으로 잘 뻔 자고 싶었지만 스토리 궁금해서 안 잤는데 내 친구는 자다가 나한테 걸림
52,무슨 한국인이 야쿠자 영화보고 이렇게 슬픈 감정이 드는게 말이 되냐고 ㅠㅠㅠㅠ
53,한재림감독 개실망…… 스트레스지수 올라가는 한없이 시대착오적 영화. 너무너무 구리다.. 배우들이 너무 아깝다…
54,학인진 지대로네요. 잘봤습니다.
55,나만 볼 수 없지 5점먹어랏
56,동생잃은 언니의 처절하고 잔혹한 복수극.. 사냥당하듯 손에 땀을쥐는 스릴과 화끈한 고어씬 그리고 슬프도록 아름다운 액션까지.. 감히 클레멘타인과 함께 한국영화 걸작 2선에 꼽힐만하다 할수있다.. -씨네18
57,영시간이 길어지면 늘어져
58,첨에 저배우들이 어덯게 수중발레를?하고 의문이었는데 마지막에 깜놀!정말 노력많이 했겠어요망가진 연기들도 넘 잘하고 한사람한사람들의 고민과 힘든일상이 공감되네요중간에 약간 따분하기도 했지만 감동적인 영화 오랫만에 본거같아요
