6604,"영화가 예술이라고 말하던 사람들을 이해하지 못했는데 처음으로 영화가 예술일 수 있겠다는 생각이 든 작품입니다. 박해일 배우의 목소리와 표정, 연기는 속절없이 사람을 몰입하게 만들었고, 탕웨이 배우도 감정선을 잘 이어준 것 같아요. 여운이 정말 정말 많이 남고, 몰입을 깊게 하면서도 영화가 끝나서야 내가 몰입했다는 걸 자각할 정도로 영화를 보는 당시에는 다른 생각을 할 겨를도 없이 빠져듭니다. 간직하고, 소장하고, 온전히 모든 감정선을 이해하고싶은 영화입니다. 꼭 보셨으면 좋겠어요"
6605,이걸 보고 평점테러 하는애들 수준이 궁금하다 오랜만에 잔잔한 드라마 잘봤네 한국미국 일본 감성 다들어갔는데 쬐깐한 과자같은 느낌 좋았다 이거 굳이 들어와서 테러하는 애들은 송강호가 넘버쓰리하고 강동원이 전우치하고 아이유가 아저씨할줄알고봤냐 ㅋㅋㅋ한국 영화수준은 올라갔는데 관객은 아직도 범죄도시면서 뭔 평가들을 하는겨 ㅋㅋㅋ
6606,2회차 보고싶은 영화
6607,퍡트를 말할게요 감독님 감독하지말고 앞으로 작품 신중하게 하시게요 이정현님을 꽃잎연기에서 아줌마연기로 만드셨네요 ㅋ 정현님 꽃잎에 연기와 와 노래부를때 끼는 다 사라지게한건가요? 정현님 이런 영화에 발담궈 왜 연기적인부분을늦추는지 이해가 안감요 팬으로서 자괴감이 듬요
6608,저는 개인적으로 좋은작품이라고 생각하며 잘봤습니다.
6609,따뜻함과 쓸쓸함 사이에서 왔다갔다.. 인생처럼 알수 없는 기분
6611,아름다운 영상미와 맥어보이의 리즈시절을 엿볼수있는 최고의 드라마가 있는 영화다.하지만 브라이오니를 보는내내 너무 화가 났다.결국엔 자기 합리화로 마무리하는...이룰수 없어 슬픈 두남녀의 사랑이야기ㅠㅠ
6612,감기 판도라를 잇는 신파극.출연 배우가 아깝다.
6613,정말 이게 2022년 대한민국에서 개봉한 영화란 말인가 ? 92년 아니고 ? 참담한 심정이다.리얼리티 0%에 억지 설정에 억지 감정선...뻔한 억지 전개...에휴...이런건 92년쯤에나 통했지...2022년에는 절대 통하지 않는다.좀 그럴듯해야 봐주지...저 좋은 배우들을 데리고 이따위라니 참담하다.
6614,이영화 다른건 몰라도 분위기 하나만큼은 미쳤음 개노잼인데 특유의 어두운배경 분위기가 진짜좋음 스토리만 어떻게 했어도...
6615,숨겨진 한국 명작을 찾는데 오랜 시간이 걸렸다.. 이 영화가 1시간 30분이라는 게 너무 아쉽다. 10시간이라도 볼 수 있는 잔잔한 힐링 영화. 김태우 연기 너무 잘한다.
6616,공조1보단 더 재미있음
6617,이게 배트맨이지. 마지막 오토바이 엔딩씬은 정말 여운이 많이남는다.
6618,스토리와 영상미 수준높은 음악과 가창력이 돋보이는 음악여행 최고네요
6619,야~ 비행기가 산으로 가네
6620,아버지 세대에 스타워즈가 있었다면 우리 세대에는 아이언맨이 있다
6621,사이다인줄 알았더니 용두사미 ㅠㅠ
6622,전편보다 잼나고 볼만하네요 주인공들이캐미도 좋구요
6623,"NOPE = 응, 아니야. 직역하면 이게 딱 일듯"
6624,사고 잘 치게 생긴 관상이나 타입은 있는 것 같다. 저 넘이 사고칠 것 같다하면 여지없이..
6625,평점 왜이래~ 난 너무 재밌는데요
6626,표정연기의 새로운 패러다임의도와 의미를 전혀 알수없는감정연기들이 매력적이었네요이름 그대로 킬링타임용이네요
6627,철령이 나와도 좋은데 잭은 더 좋아!
6628,넥플릭스 삭제 시켜주셔서 덕분에 치킨값을 벌었어요
6629,평론가들 있어보이는척하는거 킹받네 ㅋㅋ
6630,2편도 레전드인 작품인듯
6631,탑건매버릭 진짜 재밋긴 재밌더라
6632,머머리 누군가 했더니 크리스찬 베일....
6633,그닥 주인공한테 정이 가지 않는대? 특히 여자들은 더 그럴 듯?감각적인 촬영과 스토리텔링 방식이 좋다.
6634,난 잼있던데...평가 오바로 안좋네...분노의 질주 한국판에 레트로 감성 충만...하여튼 난 잼있게봤다...
6635,리얼재미없음....
6636,배우들 라인업 때문에 많이 기대 했다가 실망 한 사람들이 있을 수는 있겠고 간혹 너무 오바스러운 연출 때문에 거슬릴 수 있겠다. 그래도 이정도면 충분히 빠져들어 재미있게 보기에 충분하고 맹숭맹숭한 결말은 어찌보면 더욱 현실적이라고 보이기도 한다. 그냥 긍정적으로 생각하고 편하게 감상하기엔 충분히 재미있는 재난영화라 생각됨
6637,경사 짬밥은 어디로 드신거죠?이러니 여경이 욕먹음노잼요
6638,불가능은 생각조차 하지 않고 그저 몰두하여 결국 꿈을 이루는 주인공..이렇게 치열하게 꿈을 위해 사는 주인공이 멋있다
6639,"마지막에 송강호가 항바이러스 억지 투여하는 설정외에는 대부분 현실감있는 스토리 전개가 이어졌고, 영화에 몰입할 수 있었습니다. 저마다 후기가 다를 수는 있으나 평점이 극히 낮은 이유를 찾는다면 ""정치적 이유"" 에 의한 평점테러(??)가 한몫하지 않았을까.. 굳이 ""반미, 반일"" 이라 표현할 이유도 없었는데.. 그냥 즐기고 감상하면 될 요소인데..억지로 이를 콕집어서 언급한 후기들은 대부분 점수가 낮음을 발견할 수 있었습니다. 그리고, 주연 배우들외에도 조연급 배우들의 연기도 매우 좋았습니다."
6640,"너무나도 좋아하는 유해진, 현빈, 다니엘헤니, 진선규, 윤아와 장영남 이 배우분들의 조합만으로도 그냥 보게 된 영화였습니다!"
6641,류승룡 마지막 연기가 좋아서 십점 그리고 이진욱 눈빛이 멋있네 허허 ㅋㅋㅋ
6642,????프린스????알리~~???????? 빼뷸러스???? 히???? 알리?????♂? ????아바브와?????????♀??????????♂? 쑈썸뤼수풱! ????????????뽀이쨰뉴뿔랙!???? 돠운온원니~~????????????나우 트롸 유어 베슽 투 스테이 캄???? 브러슈압 유와 Fㅜ롸이데이 쌀람~~???? 덴 컴앤 밑앤 스퐥택큘러 코토뤼???????? 푸륀스????알뤼?????♂??????♂? 마이리 이스 히???? 알리 아봐부와???? 스트롱 에스 텐!!???? 뤠귤러 뭰!!!???????? 데Fㅟ닡리~~~???????????? 히스 Fㅞ이스더 갤로퓡 혿? 어 헌두뤧 밷 가이스윋 스웙t???????? 후 센도스 군스 델 롣s???????????♂????? 와이?????????♀? 푸릔스???? 알리????????
6643,3D의 노하우가 쌓여서 역동적인 카메라워크가인상적이고 타격감 느껴지는 연출도 좋았다.다만...얼마나 홍보가 안되어있기에 드래곤볼에 호감있는 지인들도 개봉한지도 모르는거야..홍보팀이 없는거 같네요.
6645,하... 대박이네그냥
6646,한중합작영화임? 영화 끝나오 나오는 크레딧에 한국사람들이 왤캐 많이 나오지? 내용은 그냥 짜장듬북이지 친중종북 영화는 아니었던거 같은데
6647,스토리가 엔딩으로 갑자기 흘러가네. 옛날영화 감안하면 괜찮다. 흑인여자 리포터는 전생에 한여였는지 김치녀 기질이 다분하다
6648,평점이 너무 낮아 기대안하고 봤는데 완전 재밌네요~평점 아쉬워 10점 드립니다.전우치 엄청 재밌게 봤었어서 오랜만에 전우치 같은 영화 또 봐서 좋았어요~~우왕좌왕이 ㅋㅋ넷플에 올라왔으면 반응이 더 좋았을거 같다는 생각을 해봅니다.
6649,흑인이 두들겨맞는 모습 재밌더라. 근데 흑인이 노예가 아닌 교양인으로 나와서 2점 뺐다
6650,진짜 너무 재미없던데 평점 진짜 높네. 대체 뭔 내용이냐 이게
6651,"더킹,관상,연애온도때는 잘해놓고..이영화는 왜그랬어요....후반에 갑자기 제주공항두고일본공항에...전도연,송강호,이병헌그렇게쓰지말자임시완만 맛간연기만. 굿"
6652,연출이 엉성합니다.. 화면 앵글도 후지고.. 배우들 연기지도 좀 해야할듯 제발 영화 좀 대충 만들지 맙시다.. 이 정도로는 관객들의 눈높이를 맞추지 못할 듯 합니다..
6653,"솔직히 난 아직도 하정우가 연기 잘 하는지 모르겠다. PMC 더 벙커, 의뢰인, 베를린, 클로젯 등... 연기 너무 못 하는 작품이 너무 많다. 추격자, 비스티보이즈로 시대를 너무 잘 탄 케이스다."
6654,굿
6655,"또 확실해졌네. MCU는 디즈니 시대의 전후로 퀄리티가 나뉜다는 거. 앞으로 더 많은 디즈니산을 봐야하는 게 절망이지. 스타워즈처럼,"
6656,"반평생 이상 살아오면서 숱한 영화들을 봤지만 이렇게 지루하고, 이렇게 졸리며, 이렇게 어이 없는 영화 보기도 쉽지 않다. 탕웨이는 최악의 캐스팅이고 뭐 하나 내세울 수 없는 졸작 중의 졸작이다. 어디 가서 영화라고 부르지 마라. 칸느? 영화제 입상과 명작은 비례하지 않으며 교훈이나 쾌락이 없는 영화는 이미 쓰레기다."
6657,처음에 너무 허접할거같았는데 각본이 탄탄하네요. 스토리 진행할수록 꿀잼. 후반부 영상미와 몰입도는 ㄹㅇ 너무 좋았다. 엔딩 크레딧도 og
6658,공조1보다 훨씬 볼거리가 많았고스토리며 연기며 영상미까지 최고시간 가는줄 모르고 빠져들었어요
6659,정말 액션이랑 재미 두마리 토끼 다 잡은데다 현빈 다니엘 윤아 비주얼까지 훌륭한 배우들 열연으로 눈호강까지 제대로 잘했습니다. 정말 돈 1도 아깝지 않고 간만에 정말 재밌게 본 영화였습니다 공조3도 제발 나와주세요 기대할게요
6660,한국이 배경이라는 생각을 버리고 홍콩 르와르 영화라고 생각하고 본다면 액션 연기 훌륭하다고 봄. 영웅본색 봤던 세대들에게는 추천할수 있겠지만 젊은 어린 세대들에게는 우리나라에서 무슨 총질이냐는 반응을 보일듯~
6661,"꿀잼, 진작 회항하지 답답하네"
6662,잼있게 봤는데 평점이 낮네?
6663,아까까지 서로 싸우던 적이 악마 몇마리 튀어나외서 영혼 삼키니까 갑자기 같이 싸우는 거 너무 어이없고... 주인공 보다 아버지나 어머니가 더 인상 깊었네요.
6664,공조1보다 재밌어요~멋있음. 멋있음
6665,간만에 광대 아프게 웃었습니다. 영화 처음부터 끝까지 웃음 끊이지 않아.
6666,사자가 어디서 나올지 몰라서 계속 긴장하면서 봄
6667,박정민 연기만 좋았넹요ㅠㅠ스토리 너무 재미없고 루즈해요ㅜㅜ시간 너무 아깝네요…
6668,손오공과 베지타가 아닌 피콜로와 손오반의 이야기라 옛추억이 살아나며 좋았다.
6669,조금만 영화를 성의있게 만들어주면 안되나?
6670,환상적인 영상미와 분위기를 압도시킨 음악이 그냥 날 빠져들게 만들었다. 뻔한 이야기임에도 감동받아 눈물 몇방울 흘렸다. 영화관에서 봤다면 박수치면서 나왔을 듯.
6671,액션영화가 너무 사람 외모가지고 놀려믄게 썩 보기 좋지가 않다. 각본단계에서 윤아의 비중을 늘려주려고 애쓴 티가 너무 난다.
6673,개봉때 보고 21년만에 봤는데 다시봐도 재미있네요 굿입니다.
6674,7광구와 클레멘타인을 본 적 없지만 영화사에 길이남을 그 명작 두 편을연속으로 시청한 기분이었다 감동의 도가니 오늘 밤엔 잠이 오지 않을 것 같다
6675,아역배우들의연기가너무휼륭하고좋다
6676,너무재미가없고전편보다못하다실망이다
6677,에오스몬과 마지막 전투 때 메노아에게 말한 대사가 맘에 와닫았다.'너의 선택은 틀리지 않았어.하지만 그 선택들 뒤에 어떤 일이 기다린다고 해도 우리는 우리가 선택한 길을 살아내야만 해.'
6678,영화를 본후.전문가들의 평점을 다시 본적은 처음이다.앞서 말하자면 이영화는 개인적이지만 평점테러를 당한 영화같다.(전문가들의 평점평가시 이런 말투?를 쓰는것같아 독백체로 이야기합니다^^) 혹자의 평가이지만 감독이주는 메세지나 철학을 꿰뚫어 보고싶게 만든 내인생의 최초의 재난영화인듯 싶다. 초반이주는 긴장감은 가히 극찬할만큼 높은 수준이며 중반에서 후반부로 넘어갈때 나의 감성을 긁어 상쾌함을 주는 부분은 다소 아쉽다.그럼에도 불구하고 이 영화에 10점을 주는 부분은 이영화는 시대반영적 요소가 깊다.이시대는 각자 자기가 놓인 위치에서 최선을 다해야 우리가 알고있는 권선징악에 미친다는 것을 감독은 일깨워주고자하는 메세지를 주려하는것같다.저명한 영화제에 초대받음은 좋은 배우나 좋은기술력이 뒷받침 돼겠지만 감독의 메세지를 사려깊게 꿰뚫어보는 관객의 수준도 필요하리라 본다6점대의 싸구려로 치부돼기엔 너무 아까운 영화라고 판단된다.이상!이병헌배우님.기내진상연기배우님.임시완배우님.송강호배우님의 연기순서로 박수를 보냅니다
6679,감독과 배우 캐릭터 둘 다 공감능력 부족이 아닌가 싶음
6680,나오미스콧의 목터지는 스피치레스 듣고 울지 않을 수 없었다
6681,내 돈 아이 갚니 양태야 도끼 꺼내라
6682,억지든 안어울리든 말든 스토리가 어떻든그래도 감동이 느껴진다는 영화인 것만 알려드리고 싶다 코로나로 피폐해진 마음에 한줄기 감동을 느끼게해준 영화
6683,잘 우는 편은 아닌데 보고 눈물 맺혔어요
6684,감독이 딸이나 마누라한테 좀 억한 심정이 있나? 딸들이 심하게 발암 캐릭이네 ~
6685,너무 신나고 즐거웠습니다 ^ ^
6686,"하정우? 응믿거, 반미종북사상이 너무 강해서 북한영화인줄 알았는데 2.0.1.8.년.산이네 여윽시"
6687,초반엔 긴장감도 있고 중반엔 사실적인데 막판에 K신파로 대미를 장식함
6688,아니 진짜 웃다가 미치는줄 ㅋㅋㅋㅋ갑분교!! 번달번줌!!! 곽동연 복권 긁는 장면 역대급ㅋㅋㅋㅋ요즘 영화 중에 제일 재미있어요
6689,최악의 영화. 쓸데없는 대배우들 출연. 전도연 문숙은 왜 출연햇는지.
6690,2022년 영화중 최고다
6691,피콜로 팬으로서 그의 엄청난 파워업에 보고 기분이 좋아졌다
6692,보는 내내 행복했다... 여러가지로ㅎㅎ여러분 꼭 보세요! 절대 후회 안 합니다!!
6693,차줌마 연기는 좋은데 난해한 스토리... 음...
6694,올 3D라 연출의 생동감이 더욱 살아난다!!
6695,맞아 이런 영화가 너무 보고싶었어
6696,현실에 찌들었는지 많이 지금 보니 많이 오글거리긴 하네요. 그래도 초등학교땐가 개봉당시는 감성 영화로 기억.
6697,너무 재밌었음. 믿고봐도 후회는 없을 영화인데 심장 쫄깃쫄깃.근데 평점테러 오지네 ㅋㅋㅋ한국 김치들 종특이 국내 영화 공조 육사오 이런거 쳐 나오면 진짜 팬층 오지는 영화 아니면 별점테러 당하나봄 으휴 김치종특이지 뭐
6698,스릴러인데 지루함 넘버원 영화로 니콜 키드먼 없었으면 중간에 포기할 수 밖에 없는 영화.
6700,너무나도 현실적인 이야기어서 공감하면서 봄.별거아닌것처럼 보이는거여도 문제가 생기면 일상이 이렇게 심하게 흔들린다는게 너무 무섭고 서글펐음 인생은 너무 힘든것같다 개인적으로 오랜만에 돈이 아깝지않은 영화였음
6701,주연배우 수상경력ㅡ아카데미 여우조연상ㅡ칸 여우주연상ㅡ에미상 남우주연상ㅡ미친캐스팅이네
6702,1편보다 아쉽지만 볼만함
6703,서약함처음에보고 한효주인줄 졸닮았네ㅋㅋ
6704,뭐지? 점수도 주고싶지 않다ㅠ 점수평 0점..그나마 강동원 정우성때문에 참았다 ㅡ
6705,저는 개인적으로 킬링타임으로 너무 재밌고 유퇘하고 재밌었어요! 무족건 추천해요!
6706,가볍게 볼수있어서 재밌어요 시작은 좋았는데 끝으로 가면 너무 전개가 빠르게 마무리됨
6707,이 영화보고 한효주 씨가 좋아졌어요. 연기하면서 얼마나 힘들었을지 그 고통이 전해졌습니다.. 하지만 내용은 뭐랄까. 제목답게 한효주 씨가 예인으로서의 기생으로 살면서 고통도 예술로 승화시키는 쪽으로 갔으면 훨씬 더 예술적인 작품이 되지 않았을까 싶네요. ‘해어화’라는 제목이 아까워요.
6708,"1,2편을 다보니 다른건 모르겠고 감독이 나 제작자 아무튼 높으신분이 무쌍이나 속쌍 배우를 선호 하는건 아주 맘에듭니다 ㅋㅋ가짜 쌍커플이 판을치는 세상 아닙니까???ㅋㅋ자꾸 농장이 나오는거 보니 미국컨츄리 삘 좋아하시는거 같고 ㅋ일단 상처가 아무는건 올드가드, 속도감있는 전투씬은 트와일라잇 따라하신 느낌이 있네요 볼만합니다"
6710,공조3도 개봉하겠구나~
6711,"특별하니 않은 스토리인데 명작을 본 느낌, 그냥 스타일리쉬함 그 자체.끝내주게 멋지고 폼나며 살짝 말랑거린다."
6712,재개봉해서 처음으로 봤는데 명작이네요. 작품성에 비해 관객수가 왜 86만명 밖에 안되는지 모르겠네요 재개봉 기준 관객수인가
6713,진짜 영화 수준이..보다가 짜증이 확..올라오네요.일류 배우이류 연출삼류 스토리
6714,진정한 서민 대통령.. 그리고 나의 사랑하는 대통령.. 앞으로는 더 없을 대통령
6715,진심 감동과 역지사지..이기심으로 똘똘뭉친 사회에 일침입니다.마지막..영상통화씬에서 오열했네요ㅜㅠ내 가슴속에 명작 한편!
6716,ㅁㅌㅋ 등장씬은 '관상'의 '수양대군'(이정재)에 비견된다.아들 가진 아빠로서 괜찮게 봤음. 근데 엔딩이 너무 옛날 스타일 오글오글.
6717,애새기 말 듸지게안들어요
6718,그래서 사랑하는 사람을 어디까지 믿어야 하는 걸까.. ㅎㅎ
