year	code	title	genre	directors	actors	story	
1995	17149	007 골든 아이	액션, 스릴러	마틴 캠벨	피어스 브로스넌	냉전이 와해되고 정치적양상이 시시각각으로 변화되는 20세기 말 새로운 세계가 도래하게 된다. 1989년 베를린 장벽의 붕괴 이후 공산주의가 연쇄적으로 그 종말을 고했다. 러시아에 근거지를 둔 유럽 마피아가 새로운 범죄조직으로 등장하여 전 세계에 걸쳐 사회, 경제적으로 폭력과 혼란을 야기시키게 된다. 이들은 항공밀수업자로 우주에서 새로운 대체무기를 얻으려고 갖은 권모술수를 사용하지만, 정의의 제임스 본드는 그들의 본거지로 침투해 들어간다. 첨단무기를 갖춘 새로운 범죄조직과 007과의 대결이 다이나믹한 액션과 더불어 숨가쁘게 펼쳐진다.
1995	17216	301 302	드라마, 미스터리	박철수	방은진, 황신혜	오염된 도시 생활에 찌들어 있는 현대인에게 꿈과 희망을 가져다 준다는 새희망 바이오 아파트 302호에는 '신경성 식욕부진증'에 시달리며 더이상 음식을 먹지 못하게 된 윤희(황신혜 분)라는 여자가 살고 있다. 302호 윤희는 정육점하는 의붓아버지의 강간을 피해 냉장고 안에 숨게 되는데, 이웃집 아이가 그녀를 흉내내다 냉장고 속에서 얼어 죽는 사건을 맞았다. 그 이후 윤희는 음식을 보기만 해도 토해내는 증상이 생겼고, 음식, 섹스에 대해 본능적으로 거부해 왔다. 이사온 날부터 계속되어지는 301호 여자의 302호 여자에의 요리 공세. 301호 여자는 302호로 음식을 계속 나르고 302호 여자는 음식을 토하거나 버리는 반복되는 생활이 벌어진다.
1995	17156	48 + 1	범죄, 드라마	원성진	김명곤, 박상민	화투의 최고수급인 정수(김명곤 분)는 서울에서 얼굴이 너무 많이 알려져 지방 도시를 전전하며 도박 생활을 하던 중 재향(진주희 분)이라는 도박판 심부름꾼 여자를 만나 같이 서울로 올라 온다. 재향은 정수에게 돈을 벌어올 것을 강요하고 사기 도박단을 조직하고 있던 옛친구 홍석(전무송 분)이 정수에게 도움을 청해온다. 자해 공갈단을 조직해 길거리에서 돈을 뜯어내는 저질 폭력배였던 강토(박상민 분)는 홍석의 아지트에서 도박을 하다 정수의 놀라운 도박솜씨에 매료된다. 그리고 우연히 이 도박판이 속임수라는 것을 발견한 강토는 홍석을 협박해 돈을 뜯어내려 한다.더이상 정수가 필요없다고 생각한 홍석은 부하들을 시켜 정수와 강토를 처치하라고 명령하고 정수의 여자인 재향을 유혹, 사채업자인 황사장에게 소개한다. 돈과 여자를 잃어버린 정수는 홍석에게 복수를 결심하고 도박 기술을 배우기 위해 정수에게 매달리는 강토를 수재자로 삼아 자신의 기술을 전수한다. 2년의 시간이 흐른 후 변장을 한 강토는 홍석의 사기도박에 잠입하고 정수는 강토를 돕기 위해 홍석을 유인한다. 홍석은 강토와 정수가 한패라는 사실을 모르고 정수와 강토는 도박으로 홍석을 알거지로 만드는데 성공한다. 계획이 성공한 후 정수는 도박판을 영원히 떠나겠다며 강토의 곁을 떠나고 강토는 떠나는 정수의 뒤를 향해 개같이 벌어 정승같이 쓰겠다며 다짐을 하는데.[스포일러] 강토의 실력을 알아차린 홍석은 강토를 자신의 패거리에 끌어들이고 정수를 뒤쫓아 더이상 도박을 못하도록 오른손의 힘줄을 끊어버린다. 홍석과 함께 도박판을 주름잡던 강토, 어느날 엄청난 호구가 걸려들었다며 홍석은 강토를 부른다. 상대편 기사로 초빙된 자는 일본에서 온 포카 박이었다. 탁월한 심리전으로 강토를 압도하는 포카박, 수십억원의 레이스가 펼쳐지고 돈이 모자란 강토는 자신의 목숨을 담보로 한다. 그러나 이겼다고 생각한 순간 강토의 속임수가 홍석에 의해 탄로나고 이 모든 것이 홍석의 계략이었다는 사실에 분노한 강토는 포카박의 칼에 맞아 죽어가며 홍석을 향해 칼을 날린다.{"화투는 모두 48장! 그러나 인간의 마음 속에 또 1장. 그것은 온갖 환상을 빚어대는 요술 카드. 그것만 잡으면 이 판은 내것인데, 잡힐 듯 잡힐 듯 잡히지 않는다. 그것은 처음부터 형체가 없는 것이거늘......"}
1995	17515	5인의 테러리스트와 나홀로 게임		로렌스 라노프	미키 르보, 데이빗 키스 밀러	스튜어트 울프(Stuart Wolfe: 미키 리뷰 분)는 11살짜리 소년으로 자신의 힘으로 태양열을 이용해 밧데리없이 움직이는 차를 만들 정도로 영리한 소년이다. 아빠 칸레드 울프(Conrad Wolfe: 죠지 샤먼 분)는 외교관 출신으로 부인 헬렌(Helene Wolfe: 린다 로포토 분)과 함께 독일에서 임기를 마치고 미국으로 돌아와 생활한다. 딸 켈리 울프(Kelly Wolfe: 알리 패트릭 분)는 남자를 좋아하는 아가씨로 아빠가 자신의 행동을 제한하는 것에 불만을 품고 매사에 아빠의 말에 항의적이다. 어느날 독일의 폴리텍 대학교의 연구 과학자로 일하는 스튜어트 삼촌에게서 세계나라 회사에서 서로 원하는, 엄청난 대가를 받고 팔수있을 정도의 정보를 팩스로 받게 된다. 영리한 스튜어트는 이 팩스의 내용을 자신의 컴퓨터에 넣어뒀고, 괴한 5명이 집에 들이닥치며 그 팩스를 내놓을 것을 요구하며 컴퓨터에 입력된 내용을 꺼내기 위해 갖은 노력을 다했지만 코드 번호를 알아낸 시점에서 스튜어트는 괴한이 감전이 되도록 소금물을 뿌려놓은 자리에 컴퓨터의 전선과 연결시켜, 코드 번호는 나왔지만 결국 괴한은 감전되어 죽고 컴퓨터는 다 망가진다. 영리한 스튜어트는 괴한들을 이런 방컥막  다 처치했고 괴한들에게 많은 돈을 주고 대기업의 위원회에 팔아 넘기려 했던 랭글리도 위원회에서 보낸 괴한의 손에 죽게 되어 결국 컴퓨터는 망가졌지만 괴한들 5명은 다 처치되고 스튜어트의 가족들만 남아 다시 행복한 분위기의 가정이 된다.
1995	24088	8초의 승부		존 G. 아빌드센	루크 페리, 스티븐 볼드윈	로데오 챔피언 레인 프로스트의 삶을 토대로 시골 마을의 평범한 소년이 로데오 챔피언이 되기까지의 과정을 그린 영화. TV 시리즈 &amp;lt비버리힐즈 아이들&amp;gt의 루크 페리가 로데오 선수로 출연한다. &amp;lt록키&amp;gt, &amp;lt파워 오브 원&amp;gt을 만든 존 G.어드빌슨 감독 작품. 오클라호마의 작은 마을에 사는 소년 레인 프로스트(Lane Frost: 루크 페리 분). 그는 젊은 시절 로데오경기 선구자였던 아버지 클라이드 프로스트(Clyde Frost: 제임스 레브혼 분)의 아들로 전설적인 로데오 챔피언을 열망하던 아버지의 염원을 물려 받는다. 거대한 황소 위에 있는 작은 아들의 모습이 범상치 않음을 발견한 클라이드는 레인에게 일찍부터 엄격한 로데오 훈련을 시킨다. 열 여덟살 되던 해, 레인은 친구 터프 헤드만(Tuff Hedeman: 스테판 볼드윈 분), 코디 램버트(Cody Lambert: 레드 미첼 분)와 한 팀이 되어 첫 로데오 경기에 참석한다. 타고난 용모와 특유의 과감성으로 레인은 로데오계의 새 별로 급부상하고, 야생마 타기 부문 챔피언인 켈리(Kellie Frost: 신시아 게리 분)를 만나 첫눈에 반하게 된다. 사랑에 빠진 두사람은 어린 나이에 결혼을 해 가정을 꾸미고, 레인은 켈리의 도움에 힘입어 참가하는 경기마다 우승을 거두어 선전한다. 그러나 늘상 떨어져 사는 결혼 생활과 우승에 대한 중압감때문에 레인은 슬럼프에 빠지게 되고 그런 레인에게 친구 터프는 라스베가스 게임에 도전해 볼 것을 권유한다. 그것은 바로 33명의 전직 챔피언을 해치운 황소 레드록과의 결전이다. 반면 케리 역시 유명한 로데오 선수인 남편의 그늘에 가려 조금씩 지쳐간다. 그러던 어느날, 범민하던 켈리 앞에 옛 애인 마틴이 나타난다. 레드록과의 시합을 하루 남겨놓은 날, 질투에 휩싸인 레인은 이 일로 켈리와 심하게 다투게 되는데.
1995	33417	95 캉캉 69		서필현	강경돈, 문선경, 최선화	미미와 은아는 어릴 때부터 절친한 친구 사이다. 미미는 가수가 되기 위해 낮엔 회사에 나가 일을 하지만 밤엔 술집 몽마르뜨에서 노랠 부른다. 은아 역시 한때는 가수가 되려고 했지만 아버지가 갑자기 혈압으로 쓰러지는 바람에 가정을 위해 가수의 꿈을 포기하고 터키탕 마사지 걸이 된다. 미미는 어느날 레코드 취입을 시켜준다는 주철의 꾀임에 빠져 돈을 날린 뒤 가수의 꿈을 포기하고 고향으로 떠난다. 그러나 보디가드를 자칭하며 미미를 그림자처럼 따라다니는 석현이 은아로부터 미미가 어릴때 자랐던 고향으로 갔을 거라는 얘기를 듣고 고향인 제주도로 달려간다. 제주도에서 미미와 석현은 서로의 사랑을 확인하고, 결국 석현의 끈질긴 설득과 은아의 권유로 미미는 다시 꿈을 쫓아 몽마르뜨 무대에 서게 된다.
1995	17519	FTW	드라마, 멜로/로맨스	마이클 카르벨니코프	미키 루크, 로리 싱어	유망한 로데오 경기 선수였던 프랭크 T. 웰즈(Frank T. Wells: 미키 루크 분)는 살인혐의로 십년간을 미네소타 주립형무소에서 복역한 후 출소한다. 그는 새로이 로데오 챔피언의 명성을 얻기를 꿈꾸며 그의 오랜 친구인 인디안 로데오 선수 버키(Bucky Miller: 로드니 A. 그랜트 분)와 떠난다. 프랭크는 첫날 번 돈으로 아름다운 암말 엔젤을 산 후 버키의 낡은 트럭을 타고 로데오 경기를 찾아 나선다. 도중에 그는 5명이 살해된 은행 강도 사건에 연루되어 경찰에 쫓기고 있는 스칼렛(Scarlett Stuart: 로리 싱어 분)을 만나게 된다. 그는 첫눈에 그녀 역시 희생자임을 감지한다. 그녀는 폭력배인 오빠 클램(Clem Stuart: 피터 버그 분)에 의해 희생당한 인물로 자동차 수 맛겸유일한 이다. 고장난 프랭크의 트럭을 고쳐준 그녀는 프랭크의 자유를 찾는 여행에 합류하게 된다. 이 두사람의 범법자 사이에 위태로운 우정이 싹트기 시작한다. 거친 세상의 길잃은 영혼인 스칼렛과 힘든 세월에도 순수함을 간직한 프랭크. 불신과 경계로 시작한 이 둘의 관계는 영원을 약속하는 사이로까지 발전하지만 두사람의 과거는 이 아름다운 사랑을 비극으로 만들어 버린다. 프랭크는 아직도 서부 개척 시대를 꿈꾸는 남자로 그의 사랑은 헌신적이고 끈질기다. 프랭크는 그가 야생마를 사랑했고 울타리 없는 자유의 땅을 사랑했듯이 스칼렛을 사랑했다. 프랭크에게 스칼렛은 그가 꿈꾸어 온 자유 그 자체였기 때문에.
1995	26299	LA 커넥션	액션, 범죄, 스릴러	레이몬드 마티노	애너 니콜 스미스, 조이 트라볼타, 존 아프레	베트남에 파견되었다가 작전 도중 뜻하지 않게 장군의 여식을 죽이게 된 프랭크(Frank: 조이 트라볼타 분)는 귀환 후 속죄하며 진실되고 평화로운 삶을 살아간다. 사랑하는 리비아와 결혼식 날, 하객들의 축하 속에 식장을 나서는 프랭크를 향해 총탄이 쏟아지고 미쳐 이를 피하지 못한 리비아는 총에 맞아 그자리에서 숨지고 프랭크는 병원으로 옮겨지지만 중태에 빠진다. 같은 시각, 결혼식장을 향하던 그의 친구 역시 자동차 폭발로 죽음을 당하고 잊고 나온 물건을 가지러 집으로 들어간 그의 애인 꼴레뜨(Colette: 안나 니콜 스미스 분)만 간신히 살아남는다. 급히 병원으로 실려간 프랭크는 다행히 목숨을 건지지만 간호사로 위장한 여인에게 또한번 독살될 위기에 놓이고 꼴레뜨도 정체를 알 수 없는 괴한들에게 쫓기기 시작한다. 자신의 목숨을 노리는 놈의 정체를 알 수 없어 괴러워하던 프랭크는 꼴레뜨가 건네준 CD에 의해 모든 사실을 알게된다. 결혼식장으로 향하던 자신의 친구가 남긴 유물인 그 CD에는 전직 CIA 요원의 비리가 담겨 있는데.
1995	47665	TV소설 길	드라마	박영주	정애리, 선우은숙, 유혜리	여고 동창 3인의 각기 다른 인생 이야기를 그린 드라마
1995	90080	TV시티	드라마	이승렬	권오중, 김지호, 김보성	방송세계의 이면에 주목받지 못하는 방송인들의 생활을 그린 드라마
