year	code	title	genre	directors	actors	story	
1991	10936	가위손	판타지, 멜로/로맨스	팀 버튼	조니 뎁, 위노나 라이더, 다이앤 위스트	화장품 외판원 펙(다이안 웨스트)은 마을 언덕 외딴 성에서 상처투성이 창백한 얼굴과 날카로운 가위손 때문에 외롭게 살고 있는 에드워드(조니 뎁)를 만나 자신의 집으로 데려온다. 평범한 일상에 무료해하던 마을 사람들에게 큰 관심거리가 된 에드워드, 펙의 딸 킴(위노라 라이더)을 만나 첫눈에 사랑에 빠지지만 그녀의 남자친구 질투와 이웃들의 편견으로 도둑으로 몰리며 더 큰 오해에 빠지게 되는데...
1991	11337	갈마	드라마, 에로	이운철	이대근, 전세영, 홍여진	머슴 만석(이대근 분)은 진사의 외동딸 선례(홍여진 분)를 사모한다. 선례가 초례를 치르던 날, 만석은 신례를 끌고 도망치다 잡히나, 간신히 용서를 얻어 산 속에서 새 삶을 시작한다. 그런데 1년 뒤 6.25가 터지자 만석은 땅 몇 마지기에 대리 입대하고, '사망 통지서'를 받고서 그가 죽은 줄로 여긴 선례는 결국 어린 딸 꽃실(주세은 분)을 두고 외간남자를 따라 나선다. 군에서 돌아온 만석은 딱정네(서창숙 분)의 손에서 자라던 꽃실을 데려와 15년간 사랑과 정성으로 기른다. 그러나 꽃실(전세영 분) 역시 아버지에 대한 사랑을 뒤로 한 채 사랑하는 남자를 따라 도회지로 도망친다. 차례로 만석을 배신하고 떠나버린 모녀. 꽃실을 기다리던 만석은 끝내 전국 방방곡곡으로 찾아 나선다. 그리고 몇 년 후 한 선술집에 들른 만석은 서로 모른 채 작부와 포주가 되어버린 꽃실과 선례를 만난다.
1991	15399	강시지존		유위강	임정영, 오가려, 전소호	중국의 7월 귀신절에 추생, 문재는 실수로 지하의 귀신들을 불러내게 되고, 임사부와 석견이 두 제자를 미끼로 귀신을 물리치려 하나 귀신 처녀 소려의 도움으로 추생과 문재는 위험을 모면한다. 한편 풍수지리로 돈벌이를 하는 석견에겐 아들 소견이 있는 데, 소견은 매리에게 흑심을 품고 영혼만 빠져나가 매리를 겁탈하려 한다. 추생 역시 매리에게 매혹된 지라 소견의 몸뚱아리를 숲속에 감추고 그의 신체를 들개들에게 물어뜯게 한다. 몸을 잃어버린 소견의 영혼은 흡혈귀로 변해 버리고 여러 사람을 해치기에 이른다. 어느 새 임사부를 사모하게 된 소려의 도움으로 임사부, 추생, 문재는 흡혈귀 소견과 사력을 다해 대결하고 결사적인 싸움 끝에 석견과 소견을 물리친다. 결전이 끝난 마당에서 처녀 귀신 소려는 임사부와 결혼식을 올린다.
1991	15506	강호영웅	액션	구양준	정소추, 임청하, 이동승	무협 소설의 대표적인 작가 고룡 원작을 각색한 작품으로 임청하의 무협물 데뷔작이다. 영풍산장을 이끌고 있는 성공공(내시)은 서역 공주와 결탁하여 역모롤 꾀하는데 그의 제자 중에 가장 걸출한 위개(정소추 분)와 운아(임청하 분)는 금기를 어기고 서로 사랑하게 되자 처형당하게 된다. 그러나 요행히 살아나 도망치게 되고 위개에게 반했던 서역공주는 성공공을 사주해 그들의 뒤를 추격한다. 한편 위개의 사제 노장은 운아를 짝사랑해 오던 터라 문중을 배신하고 두 사람을 돕게 된다. 그러던 어느 날 위개는 서역공주를 찾아가 그녀의 노리개가 되자 배신감에 사로잡힌 운아는 복수를 다짐하고 노장의 정성어린 보살핌에 차츰 마음이 기울어진다. 헌데 부귀를 찾아 떠난 줄 알았던 위개는 성공공의 음모를 파헤치기 위해 고육계를 썼다는 게 밝혀지자 위기에 놓이게 되고, 운아는 성공공에게 자청해 위개를 죽이겠다고 한다.
1991	12504	개벽	드라마	임권택	이덕화, 이혜영	{사백년을 이어 내려오던 조선왕조는 19세기에 이르러 봉건제의 모순이 심화되며 국정은 문란해갔다. 한편, 아편 전쟁에서 중국이 서구 열강에 굴복하자, 조선 민중은 중국 중심의 세계관을 극복할 새 사상을 갈구하였다. 이에 인간과 역사에 대한 새로운 각성이 일어나고 그러한 깨우침의 하나로서 동학(東學) 운동이 나타났다.}동학의 1대 교주 수운(김길호 분)이 흑세 무민죄로 처형당하고, 2대 교주 해월 최시형(이덕화 분)은 관의 추적을 받으면서도 동학을 널리 알리기에 여념없다. 민중 생활은 더욱 궁핍해지고, 민중의 지지를 받던 동학이 계속 탄압 당하자, 해월은 혼자 태백산으로 숨고, 부인 손씨(이혜영 분)와 네 딸들은 전국에 조리돌림을 당하는 수모를 겪는다.이 소식을 들은 해월은 손씨 부인이 죽었으리라고 생각한다. 더 깊은 산중에 숨은 해월은 그를 돌봐주던 노인의 혼자된 며느리 안동 김씨와 결혼한다. 강시헌 선생과 재회한 해월은 다시 도주해서 동학의 경전을 출판한다. 그리고 죽은 줄 알았던 손씨 부인과 재회하지만, 기쁨보다는 안동 김씨를 생각하며 고민한다. 정부의 삼정문란은 날이 갈 수록 심화되어, 민중들의 분노는 동학난으로 이어진다. 그리고 1898년 수 많은 군중이 지켜보는 가운데 해월은 참형당한다.
1991	18279	개심귀		고지삼		친구들과 야영을 떠난 청청(나명주). 갑자기 쏟아지는 폭우를 피해 우연히 한 사찰에 들어갔다가 낡은 밧줄을 발견하고, 장난삼아 기숙사로 가져오게 된다. 그런데 뜻밖에도 그 밧줄은 쾌락 귀신 주금춘(황백명)의 영혼이 담겨있었던 것. 좋으나 싫으나 함께 지내게 된 발랄한 여고생 청청과 자신의 진짜 신분을 속이는 착한 귀신 주금춘은 차츰 진정한 우정을 쌓아가게 되는데…
1991	15531	개심귀 4 - 개심귀 대 개심귀	공포, 코미디	고지삼	황백명, 양보령, 호풍	청나라 말기 양상곤이라는 장군이 있었다. 그는 군사력을 쥐고 있어 폭력으로 양민을 다스리다 천길 낭떠러지로 떨어졌다. 바로 그 시체가 성본 대학 자료실에 보관되어 있었데, 그 대학에는 아규라는 교수가 있다. 이 교수는 학생들의 놀림감이 되어 늘 괴로워한다.그러나 학생들에게 당할 때마다 그의 전신이 나타나 구해준다.또 그의 연적이 그의 살해를 기도할 때마다 그의 전신이 나타나 번번히 그를 도와준다.어느 날 학생들이 자료실에 들어가 양상곤의 시체에 동패를 가까이 하니까 그 시체가 갑자기 살아나 움직이기 사작한다. 살아움직이는 시체때문에 곤욕을  치르는 아규를 위해 아규의 전신은 그 시체와 결투를 하고 아규를 간신히 구해낸다.
1991	11283	검은 휘파람	드라마, 범죄, 액션	방규식	나한일, 조현숙	법대생인 강청민(전호진 분)은 알지 못하는 여자의 전화를 받고 약속장소에 나갔다가 돌연 칼침을 맞는다. 그런데 설상가상으로 자기를 만나고자 한 여자가 죽었다는 이유로 살인 누명까지 쓰게 된다. 이 사건으로 인해 자신의 뿌리찾기를 시작하게 된 청민은 자신의 친아버지가 바로 부산 암흑가의 대보스였던 오작두(나한일 분)라는 사실에 놀란다. 50년대 자유당 시절 오작두는 단숨에 부산 암흑가를 재패하지만 교활한 음모꾼 태천수(송금식 분)에게 패권을 탈취당하고 그가 사랑했던 정숙화(조현숙 분)까지 빼앗기고 만다. 작두의 분노는 폭발하고, 홀로 태천수의 사무실을 습격한다. 태천수를 제거한 작두는 자신 역시 만신창이가 된 몸으로 사라져 버리는데 그 많던 작두와 태천수의 재산도 함께 행방이 묘연해진다. 청민은 자신을 위협하던 그 위험이 바로 그 재산 때문이었다는 사실을 깨다다고 결국엔 오작두의 심복이었던 고송수(진봉진 분)의 죽음으로써 끈질긴 추적으로 마침내 그 범인을 밝혀내는데 성공한다.
1991	14533	게이트 2	판타지, 공포, 코미디	티보 타카스	루이스 트립, 사이몬 레이놀즈	고등학생이 된 테리(Terry: 루이스 트립프 분)는 자동차 사고로 어머니를 잃어 자책감과 그리움으로 술로 세월을 보내는 아버지가 늘 안타깝다. 테리는 흉가가 된 3년전의 악몽의 현장을 찾는다. 그 곳에는 인간의 소원을 이루어 줄 수 있는 악마가 있는 것이다. 불량아인 모(Moe: 사이몬 레이놀즈 분)와 존(John: 제임스 빌리모어 분), 리즈(Liz: 파멜라 시갈 분)가 함께 이를 지켜보는 가운데 드디어 옛 주술을 써서 악마를 불러내게 된다.
1991	19725	겨울 꿈은 날지 않는다	드라마, 멜로/로맨스	최성식	최민수, 이혜영	서성임은 일상의 권태와 무의미 속에서 허우적대며 항상 탈출구를 찾고 싶어하는 29세의 여자다. 그리고 26세의 신길우는 어느날 자기 삶의 궤도에서 벗어나지만 그때부터 철저히 고독해진다. 우연히 만난 이들에게 출처를 알 수 없는 많은 돈은 그들이 일상을 빠져나가는 수단이 된다. 여행을 하면서 성임과 길우는 세상에 복수라도 하듯 돈을 쓰며 내재되어 있던 응어리들을 폭발시킨다. 비록 짧은 시간이었지만 둘은 점차 서로를 이해하고, 연민의 정을 느낀다. 하지만 결국 길우는 죽음으로써 본래의 자기의 삶으로 돌아가고, 성임 역시 아무 일도 없었던 것처럼 일상의 자기 모습을 되찾는다.
