year	code	title	genre	directors	actors	story
1990	12654	1990년 자유부인	드라마, 멜로/로맨스	박재호	고두심, 강석우, 김흥기	권위적인 남편 태연(김흥기 분)과의 사이에 딸 슬아를 둔 선영(고두심 분)은 권태롭기만 한 일상 속에서 출판사를 경영하는 친구인 이혼녀 윤주(김형자 분)의 부탁을 받고 취재 여행을 떠난다. 삼류사진작가 춘호(강석우 분)와 취재에 동행하게 된 선영은 충동적인 행동을 일삼는 춘호를 통해 자기자신을 억누르고 있는 틀로부터의 자유를 느낀다. 그러던 중 남편에게 여자가 생겼다는 사실을 알게 된 선영은 결혼에 대한 자신의 소박한 꿈이 무너져가고 있음과 동시에 계속되는 춘호의 집요한 사랑에 빠진 자신을 발견한다. 그러나 객원 기자 일이 끝나고, 출판사 창립 1주년 파티에서 선영은 춘호에게 더 이상의 만남을 거절하고, 춘호 역시 사랑한다는 말만을 남긴 채 떠나는데.
1990	10994	19번째 남자	코미디, 드라마, 멜로/로맨스	론 쉘톤	케빈 코스트너, 수잔 서랜든, 팀 로빈스	마이너 리그팀 중의 하나로 캐롤라이나 리그에서 허덕이던 더럼 불즈팀이 오랫동안 기대를 걸고 신인 투수 에비(팀 로빈슨 분)를 영입한다. 그는 한마디로 백만불짜리 팔에 5센트짜리 두뇌를 지닌 청년으로 통하는데, 콘트롤만 잘하면 152킬로의 강속구로 메이저리그에서도 군림할 수 있을 정도다. 구단에서는 그를 위해 한 때 메이저리그에서 뛰던 노련한 포수 크래쉬(케빈 코스트너 분)도 영입한다. 크래쉬는 산전수전 다 겪은 노련한 포수로 에비의 콘트롤을 책임지고 가르친다. 에비는 처음에는 크래쉬의 말을 듣지 않고 반항하나 차차 크래쉬의 말을 듣고 좋은 성적을 낸다. 한편 더럼 불즈 팬 중에는 애니(수잔 서랜든 분)라는 괴짜 여자가 있는데, 초급 대학에서 영문학을 가르치며 야구 기록을 취미로 하면서 시즌마다 점찍을 유망주를 침대에서 키우는 괴팍한 성격을 가지고 있다. 그녀가 에비와 크래쉬 중 결정을 못 하던 차에, 크래쉬가 먼저 그녀를 차버린다. 시즌이 시작되고 곡절 끝에 에비는 크래쉬의 가르침을 받아 사람이 되어가고, 더램팀은 리그의 선두팀으로 부상한다. 누크라는 별명까지 생긴 에비는 구단의 뜻대로 메이저리그로 나간다. 그러나 크래쉬는 볼일을 다본 일회용 휴지처럼 해약되어 멀리 떠난다. 크래쉬는 마이너 리그시즌 중에 메이저 리그에서 홈런 신기록을 세우고 현역 야구 인생을 마감하고 코치로 나설 것을 결심한다. 한편 그에게 사랑이 무엇인지 깨달은 애니는 비속을 뚫고 크래쉬의 고향으로 찾아가 그의 품에 안긴다.
1990	10727	48시간 2	범죄, 액션, 드라마, 코미디, 스릴러	월터 힐	에디 머피, 닉 놀테	형사 잭(Jack Cates: 닉 놀테 분)은 범죄단 두목 아이스맨을 추적하다 번번히 허탕만 치고 오히려 인명 손실을 끼친 혐의로 경찰에서 쫓겨날 위기에 직면한다. 결국 48시간 안에 그를 체포하지 못하면 교도소에 가야 할 운명이다. 이 때 잭은 아이스맨이 막 출감한 레지(Reggie Hammond: 에디 머피 분)를 죽이려는 사실을 알아낸다. 7년전 레지가 재그이 사건 해결을 도와주었던 것에 대한 보복이 시작된 것이다. 잭과 레지는 7년만에 다시 만나 또 다시 48시간의 운명에 처한다. 잭에게는 레지가 아이스맨을 잡을 수 있는 유일한 기회를 제공할 것이고, 레지는 잭이야말로 자신의 생명을 구할 유일한 인물임을 깨닫는다. 그래서 이들 두 사람은 서로 만나기를 꺼려했으면서도 손을 잡는다. 그러나 아이스맨이 고용한 살인청부업자도 결코 만만치 않아 잭과 레지를 결사적으로 추적한다. 아이스맨은 자신의 흔적을 전혀 남기지 않고 사업을 벌여온 마약 거래단의 두목인 것이다. 도대체 아이스맨이 누구인지 잭과 레지는 전혀 갈피를 못잡는데, 의외의 인물이 나타난다.
1990	10630	7월 4일생	전쟁, 드라마	올리버 스톤	톰 크루즈	건실한 청년 론(Ron Kovic: 톰 크루즈 분)은 고교시절 레슬링 선수로 땀 흘리며 고통을 이겨내는 스파르타식 훈련을 받아 더욱 강인한 신체와 정신을 가지게 되는데, 어느날 학교를 방문한 해병대 신병모집소 하사관들의 모습에 매혹되어 다른 여러 친구들과 함께, '진리수호'를 최고의 덕목으로 내세우는 미해병대에 지원입대한다. 그는 자신이 기대했던대로 베트남에 파견되어 마침내 용서없는 현실 속에 몸을 던지게 되는데, 어느날 전투에서 실수로 월남 민간인들과 아이들을 죽이고, 그 영향 때문에 전우까지 실수로 죽이게 되면서 그의 정신적 괴로움이 시작된다. 결국은 부상당하여 가슴 아래가 완전히 마비된 불구의 몸으로 귀향한 코빅은 그 당시 한창이던 베트남전 반대 데모와 닉슨 행정부에 대한 규탄의 목소리로 술렁거리는 사회 분위기에 쉽게 적응하지 못하는데. [스포일러] 고 낸쳄 애인 도나(Donna: 키라 세드그윅 분)를 만나러 그녀가 다니는 뉴욕 시라큐스 대학을 방문했다가, 거기서 데모에 앞장서 뛰는 도나의 모습을 보고, 또 학생들을 무차별 진압하는 경찰의 포악성을 목격한 코빅은 헤어나기 힘든 괴로움과 회의에 휩싸여 폭음을 하고 집안에서까지 난폭한 언행을 하는 폐인의 모습으로 변한다. 그를 지탱해주던 기존의 가치관이 송두리채 흔들리고, 데모 학생들에 대한 발포명령을 내리기를 서슴지 않는 위정자들의 도덕성에 회의를 느끼면서 그는 새로운 답을 찾지 못하며 괴로워한다. 닉슨 대통령이 물러나고 민주당이 인기를 얻으면서 코빅은 민주당 대통령 후보 지명대회장에 연사로 초청된다. 연단을 향해 휠체어를 밀고 가는 코빅의 눈 앞에, 언젠가 케네디 대통령의 연설을 TV로 들으며, "론 네가 대통령처럼 멋진 연설을 하는 꿈을 꾸었다"고 말씀하시던 어머니의 모습이 떠오른다.
1990	10926	90 벌레먹은 장미	드라마	노세한	남성훈, 김희아	대학시절 남자에게 배신당한 정희는 30세가 되도록 남자들의 사랑을 불신하며 독신으로 지낸다. 그러던 그녀는 이혼한지 8년째 되는 40대 초반의 산부인과 의사 준태으 진지한 구애를 받아들여 그와 결혼한다. 하지만 정희는 남편과의 성생활에 심한 불만을 느끼며 번민에 시달린다. 정숙한 아내가 되기 위해 안간힘을 쓰는 정희에게 준태의 후배 준규의 존재는 어쩔 수 없는 불륜의 흔적으로 스며들고 만다. 자신이 저지른 불륜에 대한 죄의식 때문에 고통스러워 하는 정희에게 준태는 충격적인 사실을 고백한다. 자신의 성적 만족을 위해 둘 사이에 준규를 끌어들였다는 것이다. 남편에 대한 증오와 모든 남성에 대한 복수심을 안고 정희는 자취를 감춘다. 정희를 찾던 준태는 교통사고로 식물인간이 된다. 준규는 준태를 변호하지만 자포자기 상태의 정희는 위험한 게임을 벌이고, 결국 슬픈 종말을 맞는다.
1990	14478	9일간의 정사		브루노 마테이		미국인 피아니스트 제시카는 콘테스트에 참가하기 위해 베니스에 온다. 그러나 도착해서야 콘테스트 자격이 실격되었다는 말을 듣고는 필사적으로 참가하고자 하고, 콘타리니 교수는 그녀를 도와준다. 한편 그녀는 공항에서 만났던 루카와 우연히 재회한다. 그날밤 제시카는 그녀의 아파트를 방문한 콘타리니의 품에 안기고, 순수한 젊은이 루카와으이 사이에서 갈등한다. 루카는 제시카에게 사랑을 구하지만 제시카의 마음은 콘타리니에게 향해 있다. 카니발 마지막날, 제시카와 사랑을 나눈 후 사라진 콘타리니는 제시카의 간절한 사랑에도 불구하고 피하기만 한다. 제시카는 그 원인이 그의 과거를 사로잡고 있는 사랑하는 여인 때문이며 그 여인이 바로 자신의 엄마 수잔이라는 사실을 알고는 과감히 그로부터 돌아선다.
1990	14003	가보면 알 거야 - 영구와 땡분이		김주희	심형래	물 맑고 공기좋은 복사골에 오마담과 용팔이라는 사기꾼이 나타나 어두운 그림자를 드리우기 시작한다. 그들의 권모술수로 땅과 집을 하루아침에 잃은 형래의 가족은 오마담과 용팔을 잡기 위해 서울로 상경한다. 용팔일당을 찾아 헤매던 형래는 배가 고파지자 어린아이를 꾀어 배를 채우고, 거짓 안마사 노릇을 하다가 얻어맞고 쫓겨나는 등 고생스런 서울생활을 시작한다.다시 이발소에 취직한 형래는 우연히 그곳에서 용팔을 만나고, 우여곡절 끝에 그를 붙잡는데 성공한다. 김변호사의 도움으로 용팔일당을 파출소에 넘기고 나온 형래는 김변호사에게 복사꽃 피는 아름다운 자기 마을에 들러달라고 한 뒤 고향을 향해 출발한다. 줄거리 2. 물맑고 공기좋은 어느 복사골 마을. 바보스럽지만 꾸밈없고 소박한 세 부자가 살고 있었다. 어느날 오마담과 용팔이라는 사기꾼이 나타나 어두운 그림자를 드리우기 시작하는데. 그들의 권모술수에 이용당해 땅과 집을 하루아침에 잃고 만다. 그 충격으로 아버지 천석은 쓰러지고 형래는 오마담과 용팔을 잡기위해 서울로 상경을 하면서 고생스러운 서울 생활이 시작되는데. 용팔일당을 찾아 헤매다가 배가고파 어린아이들을 꾀어 배를 채우고 거짓 안마사 노릇을 하다가 얻어맞고 쫓겨나기도 하는 형래. 다시 형래는 이발소에 취직하고 우여곡절끝에 이 이발소에서 용팔을 만나 그를 붙잡게 되는데.
1990	62598	강시오복성			금도	헬로강시 TV판을 합친 영화. 두평은 어느날 객사하여 시체로 돌아오지만 그의 한많은 인생으로 눈을 감지 못한채 죽는다. 그의 아들 소강이 시체를 확인하자 두평은 시변을 일으켜 소강시에게 끌려간다. 한편 나라에서는 오음산에 강시가 출몰하였으니 이를 제거하면 오백대양을 내리겠다고 현상금을 붙인다. 이것을 본 동네 개구장이 소강, 소혹, 넘넘, 서과피는 부적을 갖고 강시를 잡으러 산으로 간다. 강시와 싸우다가 소강이 다치게 되자 꼬마 친구들은 산책왔던 주인의 개를 잡아 죽이는데.
1990	10905	개인 교수 2	코미디	버트 I. 고든	랜스 슬로안, 킴 에븐슨	크리스 콜린스는 상상의 세계 이외에는 여자와 관계를 가져본 적이 없는 청년이다. 그런 크리스가 어느날, 다른 주에서 전학온 여학생 베스에게 첫 눈에 반한다. 그런데 다른 학생들이 그녀에게 접근하는 것을 막기 위해 자기가 그녀를 맡았다고 큰소리치는 바람에 태권도 검은 띠의 친구 노먼과 적수관계가 된다. 급기야는 일주일내에 베스를 유혹하지 못하면 자동차를 내놓는다는 내기로까지 발전하고, 내성적인데다 수줍음까지 타는 크리스에게는 도저히 승산이 없다는 것을 아는 학생들은 모두 노먼쪽에 돈을 건다. 그러나 크리스는 고민하던 끝에 이웃집에 이사온 프랑스 부인 미셸의 n동을 얻기로 한다. 결국 크리스는 그녀의 도움으로 여자를 설득하는 방법을 터득해서 내기에 이기고, 베스의 사랑을 얻어낸다.
1990	19709	검은 도시	범죄	최야성	조상구, 이영욱, 조혜수	국제 마약단 마담 Q와 행동대원 강민과 철호는 홍콩 미스터 Y파와의 히로뽕 거래를 위해 홍콩으로 가지만 함정을 눈치채고 그들을 난사한다.한편 서울에서는 마담Q파의 유현에 의해 여대생 민지가 악의 구렁텅이에 빠지고, 그녀의 애인 김준은 실의에 빠진다. 강민은 하나 뿐인 친구 김준의 갈등이 자신의 조직 때문임을 알고 괴로워한다.마약 밀수로 국제범죄조직인 검은 선글라스파, 미스터 블랙파, 미스터 Y파, 마담Q파 간에 갈등이 생기고, 전쟁을 방불케하는 총격전, 자동차 추격전이 벌어진다. 이런 가운데 경찰은 수사에 착수하고, 유현은 조직의 정보를 빼서 검은 선글라스파에게 판다. 이 사실을 모르는 마담Q는 검은 선글라스파에게 살해당하고 강민은 극적으로 탈출한다.배신자 유현과 함께 경찰에 추적당하는 친구 강민을 위해 목숨을 버리는 김준. 결국 강민은 유현을 죽이고 국제경찰의 총탄에 최후를 맞는다.
1990	62492	게릴라		페르디난도 발디	피터 후튼	
1990	62426	겨울 나그네	드라마	정을영	손창민, 김희애, 최화정	세 남녀의 사랑과 좌절, 고뇌를 통해 이 시대의 참된 애정모럴과 건전한 생활의식을 제시한다.
